seconds,travel,recoveries,x,y,z,safeStation,speed
3.58,-0.34,0,560.96,27.56,-287.03,3738.95,-0.11
3.60,-0.34,0,560.96,27.56,-287.03,3738.95,-0.11
3.62,-0.34,0,560.96,27.56,-287.03,3738.95,-0.11
3.64,-0.34,0,560.96,27.56,-287.03,3738.95,-0.11
3.65,-0.35,0,560.96,27.56,-287.03,3738.95,-0.11
3.67,-0.35,0,560.96,27.56,-287.03,3738.95,-0.11
3.70,-0.35,0,560.96,27.56,-287.04,3738.95,-0.11
3.73,-0.35,0,560.96,27.56,-287.04,3738.95,-0.11
3.75,-0.36,0,560.96,27.56,-287.04,3738.95,-0.11
3.76,-0.36,0,560.96,27.56,-287.05,3738.95,-0.11
3.78,-0.36,0,560.96,27.56,-287.05,3738.95,-0.11
3.80,-0.36,0,560.96,27.56,-287.05,3738.95,-0.11
3.81,-0.36,0,560.96,27.56,-287.05,3738.95,-0.11
3.83,-0.37,0,560.96,27.56,-287.05,3738.93,-0.11
3.85,-0.37,0,560.96,27.56,-287.05,3738.93,-0.11
3.86,-0.37,0,560.96,27.56,-287.06,3738.93,-0.11
3.88,-0.37,0,560.96,27.56,-287.06,3738.93,-0.11
3.90,-0.37,0,560.96,27.56,-287.06,3738.93,-0.11
3.91,-0.37,0,560.96,27.56,-287.06,3738.93,-0.11
3.93,-0.38,0,560.96,27.56,-287.06,3738.93,-0.11
3.95,-0.38,0,560.96,27.56,-287.06,3738.93,-0.11
3.97,-0.38,0,560.96,27.56,-287.07,3738.93,-0.11
3.99,-0.38,0,560.96,27.56,-287.07,3738.93,-0.11
4.01,-0.39,0,560.96,27.56,-287.07,3738.93,-0.11
4.02,-0.39,0,560.96,27.56,-287.07,3738.93,-0.11
4.04,-0.39,0,560.96,27.56,-287.07,3738.93,-0.11
4.06,-0.39,0,560.96,27.56,-287.08,3738.93,-0.11
4.07,-0.39,0,560.96,27.56,-287.08,3738.93,-0.11
4.09,-0.39,0,560.96,27.56,-287.08,3738.90,-0.11
4.11,-0.40,0,560.96,27.56,-287.08,3738.90,-0.11
4.12,-0.40,0,560.96,27.56,-287.08,3738.90,-0.11
4.14,-0.40,0,560.96,27.56,-287.09,3738.90,-0.11
4.16,-0.40,0,560.96,27.56,-287.09,3738.90,-0.11
4.18,-0.40,0,560.96,27.56,-287.09,3738.90,-0.11
4.19,-0.40,0,560.96,27.56,-287.09,3738.90,-0.11
4.21,-0.41,0,560.96,27.56,-287.09,3738.90,-0.11
4.27,-0.41,0,560.96,27.56,-287.10,3738.90,-0.11
4.29,-0.42,0,560.96,27.55,-287.10,3738.90,-0.11
4.30,-0.42,0,560.96,27.55,-287.10,3738.90,-0.11
4.32,-0.42,0,560.96,27.55,-287.10,3738.90,-0.11
4.34,-0.42,0,560.96,27.55,-287.11,3738.90,-0.11
4.35,-0.42,0,560.96,27.55,-287.11,3738.87,-0.11
4.37,-0.42,0,560.96,27.55,-287.11,3738.87,-0.11
4.39,-0.43,0,560.96,27.55,-287.11,3738.87,-0.11
4.40,-0.43,0,560.96,27.55,-287.11,3738.87,-0.11
4.42,-0.43,0,560.96,27.55,-287.11,3738.87,-0.11
4.44,-0.43,0,560.96,27.55,-287.12,3738.87,-0.11
4.46,-0.43,0,560.96,27.55,-287.12,3738.87,-0.11
4.47,-0.44,0,560.96,27.55,-287.12,3738.87,-0.11
4.49,-0.44,0,560.96,27.55,-287.12,3738.87,-0.11
4.56,-0.44,0,560.96,27.55,-287.13,3738.87,-0.11
4.58,-0.45,0,560.95,27.55,-287.13,3738.87,-0.11
4.60,-0.45,0,560.95,27.55,-287.13,3738.87,-0.11
4.62,-0.45,0,560.95,27.55,-287.14,3738.84,-0.11
4.63,-0.45,0,560.95,27.55,-287.14,3738.84,-0.11
4.65,-0.45,0,560.95,27.55,-287.14,3738.84,-0.11
4.67,-0.46,0,560.95,27.55,-287.14,3738.84,-0.11
4.68,-0.46,0,560.95,27.55,-287.15,3738.84,-0.11
4.70,-0.46,0,560.95,27.55,-287.15,3738.84,-0.11
4.72,-0.46,0,560.95,27.55,-287.15,3738.84,-0.11
4.73,-0.46,0,560.95,27.55,-287.15,3738.84,-0.11
4.75,-0.47,0,560.95,27.55,-287.15,3738.84,-0.11
4.77,-0.47,0,560.95,27.55,-287.15,3738.84,-0.11
4.82,-0.47,0,560.95,27.55,-287.16,3738.84,-0.11
4.84,-0.48,0,560.95,27.55,-287.16,3738.84,-0.11
4.86,-0.48,0,560.95,27.55,-287.16,3738.84,-0.11
4.88,-0.48,0,560.95,27.55,-287.16,3738.81,-0.11
4.89,-0.48,0,560.95,27.55,-287.17,3738.81,-0.11
4.91,-0.48,0,560.95,27.55,-287.17,3738.81,-0.11
4.93,-0.49,0,560.95,27.55,-287.17,3738.81,-0.11
4.94,-0.49,0,560.95,27.55,-287.17,3738.81,-0.11
4.96,-0.49,0,560.95,27.55,-287.17,3738.81,-0.11
4.98,-0.49,0,560.95,27.55,-287.18,3738.81,-0.11
4.99,-0.49,0,560.95,27.55,-287.18,3738.81,-0.11
5.01,-0.50,0,560.95,27.55,-287.18,3738.81,-0.17
5.08,-0.52,0,560.95,27.55,-287.20,3738.81,-0.34
5.10,-0.52,0,560.95,27.55,-287.20,3738.81,-0.34
5.12,-0.53,0,560.95,27.55,-287.21,3738.81,-0.37
5.13,-0.53,0,560.95,27.54,-287.22,3738.76,-0.39
5.15,-0.54,0,560.95,27.54,-287.23,3738.76,-0.41
5.17,-0.55,0,560.95,27.54,-287.24,3738.76,-0.43
5.19,-0.56,0,560.95,27.54,-287.24,3738.76,-0.44
5.22,-0.57,0,560.95,27.54,-287.25,3738.76,-0.45
5.24,-0.58,0,560.95,27.54,-287.26,3738.76,-0.46
5.25,-0.59,0,560.95,27.54,-287.27,3738.76,-0.47
5.27,-0.60,0,560.95,27.54,-287.28,3738.76,-0.48
5.29,-0.61,0,560.95,27.54,-287.29,3738.76,-0.48
5.31,-0.62,0,560.95,27.54,-287.30,3738.76,-0.49
5.44,-0.68,0,560.95,27.53,-287.36,3738.64,-0.51
5.45,-0.69,0,560.95,27.53,-287.37,3738.64,-0.51
5.47,-0.70,0,560.95,27.53,-287.38,3738.64,-0.51
5.49,-0.71,0,560.95,27.53,-287.39,3738.64,-0.51
5.50,-0.72,0,560.95,27.53,-287.40,3738.64,-0.51
5.52,-0.72,0,560.95,27.53,-287.40,3738.64,-0.51
5.54,-0.73,0,560.95,27.53,-287.41,3738.64,-0.51
5.56,-0.74,0,560.95,27.53,-287.42,3738.64,-0.51
5.57,-0.75,0,560.95,27.53,-287.43,3738.64,-0.51
5.59,-0.76,0,560.95,27.53,-287.44,3738.64,-0.51
5.61,-0.77,0,560.95,27.52,-287.45,3738.64,-0.51
5.62,-0.78,0,560.95,27.52,-287.46,3738.64,-0.51
5.64,-0.78,0,560.95,27.52,-287.46,3738.64,-0.51
5.67,-0.80,0,560.95,27.52,-287.48,3738.51,-0.51
5.68,-0.81,0,560.94,27.52,-287.49,3738.51,-0.51
5.70,-0.81,0,560.94,27.52,-287.49,3738.51,-0.51
5.72,-0.82,0,560.94,27.52,-287.50,3738.51,-0.52
5.73,-0.83,0,560.94,27.52,-287.51,3738.51,-0.52
5.75,-0.84,0,560.94,27.52,-287.52,3738.51,-0.52
5.77,-0.85,0,560.94,27.52,-287.53,3738.51,-0.52
5.78,-0.86,0,560.94,27.52,-287.54,3738.51,-0.52
5.81,-0.87,0,560.94,27.52,-287.55,3738.51,-0.52
5.83,-0.88,0,560.94,27.51,-287.56,3738.51,-0.52
5.84,-0.89,0,560.94,27.51,-287.58,3738.51,-0.52
5.86,-0.89,0,560.94,27.51,-287.58,3738.51,-0.52
5.88,-0.90,0,560.94,27.51,-287.59,3738.51,-0.52
5.89,-0.91,0,560.94,27.51,-287.60,3738.51,-0.52
5.91,-0.92,0,560.94,27.51,-287.61,3738.38,-0.52
5.93,-0.93,0,560.94,27.51,-287.62,3738.38,-0.52
5.95,-0.94,0,560.94,27.51,-287.63,3738.38,-0.52
5.98,-0.95,0,560.94,27.51,-287.64,3738.38,-0.52
6.00,-0.96,0,560.94,27.51,-287.65,3738.38,-0.52
6.01,-0.97,0,560.94,27.51,-287.66,3738.38,-0.52
6.03,-0.98,0,560.94,27.51,-287.67,3738.38,-0.52
6.05,-0.99,0,560.94,27.50,-287.68,3738.38,-0.52
6.06,-1.00,0,560.94,27.50,-287.69,3738.38,-0.52
6.08,-1.01,0,560.94,27.50,-287.70,3738.38,-0.52
6.10,-1.01,0,560.94,27.50,-287.70,3738.38,-0.52
6.12,-1.02,0,560.94,27.50,-287.71,3738.38,-0.52
6.13,-1.04,0,560.94,27.50,-287.72,3738.38,-0.52
6.15,-1.05,0,560.94,27.50,-287.73,3738.38,-0.52
6.17,-1.06,0,560.94,27.50,-287.74,3738.24,-0.52
6.18,-1.07,0,560.94,27.50,-287.75,3738.24,-0.52
6.20,-1.07,0,560.94,27.50,-287.75,3738.24,-0.52
