elapsed,themeTime,voicePlaying,themeVolume,master,radioObjects
29.050,24.811,False,0.270,0,0
29.163,24.917,False,0.270,0,0
29.263,25.024,False,0.270,0,0
29.365,25.131,False,0.270,0,0
29.467,25.237,False,0.270,0,0
29.569,25.323,False,0.270,0,0
29.686,25.451,False,0.270,0,0
29.786,25.557,False,0.270,0,0
29.903,25.664,False,0.270,0,0
30.020,25.792,False,0.270,0,0
30.137,25.920,False,0.270,0,0
30.241,26.005,False,0.270,0,0
30.342,26.091,False,0.270,0,0
30.458,26.219,False,0.270,0,0
30.575,26.347,False,0.270,0,0
30.692,26.453,False,0.270,0,0
30.810,26.581,False,0.270,0,0
30.926,26.688,False,0.270,0,0
31.042,26.795,False,0.270,0,0
31.143,26.901,False,0.270,0,0
31.259,27.029,False,0.270,0,0
31.368,27.136,False,0.270,0,0
31.469,27.243,False,0.270,0,0
31.572,27.349,False,0.270,0,0
31.681,27.435,False,0.270,0,0
31.791,27.541,False,0.270,0,0
31.896,27.648,False,0.270,0,0
32.001,27.776,False,0.270,0,0
32.128,27.883,False,0.270,0,0
32.234,27.989,False,0.270,0,0
32.339,28.117,False,0.270,0,0
32.441,28.203,False,0.270,0,0
32.551,28.309,False,0.270,0,0
32.656,28.416,False,0.270,0,0
32.771,28.544,False,0.270,0,0
32.888,28.651,False,0.270,0,0
32.992,28.757,False,0.270,0,0
33.092,28.864,False,0.270,0,0
33.203,28.949,False,0.270,0,0
33.316,29.077,False,0.270,0,0
33.420,29.163,False,0.270,0,0
33.523,29.291,False,0.270,0,0
33.635,29.397,False,0.270,0,0
33.757,29.504,False,0.270,0,0
33.874,29.632,False,0.270,0,0
33.977,29.760,False,0.270,0,0
34.094,29.845,False,0.270,0,0
34.203,29.973,False,0.270,0,0
34.305,30.080,False,0.270,0,0
34.421,30.187,False,0.270,0,0
34.538,30.293,False,0.270,0,0
34.639,30.400,False,0.270,0,0
34.742,30.507,False,0.270,0,0
34.846,30.592,False,0.270,0,0
34.948,30.720,False,0.270,0,0
35.052,30.827,False,0.270,0,0
35.160,30.912,False,0.270,0,0
35.275,31.040,False,0.270,0,0
35.375,31.125,False,0.270,0,0
35.492,31.253,False,0.270,0,0
35.604,0.000,False,0.270,0,0
35.706,0.107,False,0.270,0,0
35.806,0.213,False,0.270,0,0
35.923,0.320,False,0.270,0,0
36.039,0.448,False,0.270,0,0
36.156,0.576,False,0.270,0,0
36.273,0.683,False,0.270,0,0
36.390,0.789,False,0.270,0,0
36.505,0.896,False,0.270,0,0
36.627,1.024,False,0.270,0,0
36.753,1.152,False,0.270,0,0
36.856,1.259,False,0.270,0,0
36.959,1.365,False,0.270,0,0
37.074,1.472,False,0.270,0,0
37.175,1.579,False,0.270,0,0
37.292,1.707,False,0.270,0,0
37.392,1.792,False,0.270,0,0
37.493,1.899,False,0.270,0,0
37.594,1.984,False,0.270,0,0
37.695,2.091,False,0.270,0,0
37.811,2.219,False,0.270,0,0
37.913,2.304,False,0.270,0,0
38.028,2.432,False,0.270,0,0
38.148,2.560,False,0.270,0,0
