time,vehicle,lap,gate,speed,recoveries,misses,x,y,z,verified,finishArmed,roadPosition
132.600,original,0,13,-10.56,0,0,-630.09,9.71,239.39,3405.464,True,3405.464
132.600,moto,0,0,26.54,0,0,186.23,9.33,545.25,4494.994,True,4494.994
132.600,atv,0,16,50.08,0,0,-264.91,9.50,527.93,4042.216,True,4042.216
134.600,tourer,0,17,38.78,0,0,43.51,8.79,530.04,4350.584,True,4350.584
134.600,original,0,13,9.86,0,0,-630.10,9.71,240.44,3413.277,True,3406.924
134.600,moto,0,0,26.16,0,0,236.51,8.81,555.11,4546.190,True,4546.190
134.600,atv,0,16,51.32,0,0,-163.39,8.97,527.07,4143.685,True,4143.685
136.600,tourer,0,0,41.33,0,0,120.95,9.78,544.43,4429.919,True,4429.919
136.600,original,0,13,9.90,0,0,-629.81,9.67,220.63,3413.277,True,3387.118
136.600,moto,0,0,22.46,0,0,297.17,8.56,559.78,4607.726,True,4607.726
136.600,atv,0,17,51.98,0,0,-59.99,8.42,526.98,4247.079,True,4247.079
138.600,tourer,0,0,44.36,0,0,206.45,9.24,552.23,4515.591,True,4515.591
138.600,original,0,13,9.94,0,0,-629.80,9.63,200.82,3413.277,True,3367.310
138.600,moto,0,0,21.97,0,0,322.52,9.84,542.64,4643.205,True,4643.205
138.600,atv,0,17,43.75,0,0,40.71,8.59,529.72,4347.722,True,4347.722
140.600,tourer,0,0,27.29,0,0,287.72,8.71,563.26,4597.940,True,4597.940
140.600,original,0,13,9.88,0,0,-630.19,9.58,181.01,3413.277,True,3347.504
140.600,moto,1,1,31.58,0,0,322.36,21.84,486.55,26.099,False,26.099
140.600,atv,0,0,46.35,0,0,127.98,9.63,544.51,4436.836,True,4436.836
142.600,tourer,0,0,13.90,0,0,317.41,8.70,556.93,4628.645,True,4628.645
142.600,original,0,13,-1.00,0,0,-629.43,9.54,170.63,3413.277,True,3336.893
142.600,moto,1,1,31.53,0,0,321.77,38.37,425.67,89.211,False,89.211
142.600,atv,0,0,49.38,0,0,223.35,8.96,554.90,4532.606,True,4532.606
144.600,tourer,0,0,25.54,0,0,323.76,14.77,518.26,4667.705,True,4667.705
144.600,original,0,13,2.88,0,0,-629.81,9.56,175.40,3413.277,True,3341.745
144.600,moto,1,1,31.54,0,0,317.39,54.86,365.06,151.998,False,151.998
144.600,atv,0,0,18.31,0,0,301.34,8.59,558.93,4612.106,True,4612.106
146.600,tourer,1,1,31.12,0,0,319.00,28.18,462.95,50.574,False,50.574
146.600,original,0,13,9.89,0,0,-621.62,9.42,160.03,3413.277,True,3326.306
146.600,moto,1,1,31.56,0,0,319.17,70.96,304.10,215.011,False,215.011
146.600,atv,0,0,15.22,0,0,321.43,10.12,541.42,4644.477,True,4644.477
148.600,tourer,1,1,31.24,0,0,316.97,44.90,402.82,112.982,False,112.982
148.600,original,0,13,9.79,0,0,-608.10,9.06,166.59,3413.277,True,3332.374
148.600,moto,1,2,35.51,0,0,328.92,82.03,241.52,278.960,False,278.960
148.600,atv,1,1,30.00,0,0,317.33,19.70,495.51,16.967,False,16.967
150.600,tourer,1,1,20.47,0,0,317.75,58.77,351.06,166.765,False,166.765
150.600,original,0,13,16.41,1,0,-628.24,9.56,176.88,3413.277,True,3342.818
150.600,moto,1,2,29.45,0,0,363.73,80.71,187.98,342.512,False,342.512
150.600,atv,1,1,31.45,0,0,321.26,35.42,436.22,78.251,False,78.251
152.600,tourer,1,1,16.24,0,0,318.56,67.84,316.95,202.119,False,202.119
152.600,original,0,13,25.59,1,0,-628.78,9.68,222.97,3413.277,True,3388.730
152.600,moto,1,2,31.76,0,0,419.73,79.03,155.39,409.563,False,409.563
152.600,atv,1,1,31.47,0,0,321.49,52.15,375.58,141.229,False,141.229
154.600,tourer,1,2,25.76,0,0,326.26,77.38,277.01,243.547,False,243.547
154.600,original,0,13,0.83,1,0,-634.02,9.76,267.59,3433.916,True,3433.916
154.600,moto,1,3,29.00,0,0,453.26,86.64,102.68,472.794,False,472.794
154.600,atv,1,1,31.46,0,0,318.77,68.23,314.90,203.905,False,203.905
156.600,tourer,1,2,32.78,0,0,341.33,82.96,219.72,303.824,False,303.824
156.600,original,0,13,18.23,1,0,-634.98,9.76,284.74,3450.730,True,3450.730
156.600,moto,1,3,34.42,0,0,470.30,77.73,42.88,536.282,False,536.282
156.600,atv,1,2,33.04,0,0,330.21,80.93,254.21,267.007,False,267.007
158.600,tourer,1,2,31.06,0,0,379.27,78.18,182.27,358.996,False,358.996
158.600,original,0,14,31.21,1,0,-634.83,9.77,335.65,3501.354,True,3501.354
158.600,moto,1,3,31.63,0,0,475.04,85.94,-21.88,602.321,False,602.321
158.600,atv,1,2,27.89,0,0,358.65,82.04,196.78,333.966,False,333.966
160.600,tourer,1,2,31.53,0,0,426.52,81.11,144.98,422.098,False,422.098
160.600,original,0,14,38.11,1,0,-632.99,9.64,405.72,3571.178,True,3571.178
160.600,moto,1,3,40.11,0,0,491.01,89.08,-89.23,672.475,False,672.475
160.600,atv,1,2,23.50,0,0,405.02,76.64,169.25,389.385,False,389.385
162.600,tourer,1,3,30.83,0,0,458.31,86.15,92.40,484.274,False,484.274
