t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.109,829.592,100.644,-120.911,15.458,13.378,0.977,7.684,0.000,0.000,-0.090,2,9.590,3.871,0.998,"Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.182, 0.976, -0.119);"
0.040,148.394,829.849,100.666,-120.764,15.479,13.404,1.056,7.698,0.271,0.000,-0.092,4,10.523,10.410,0.994,"Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);"
1.120,165.083,842.817,104.130,-110.761,15.651,10.742,3.187,10.928,0.175,0.000,-0.015,4,9.705,0.130,0.979,"Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);"
1.140,165.396,843.031,104.194,-110.542,15.651,10.716,3.188,10.954,0.175,0.000,-0.013,4,9.652,0.125,0.979,"Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);"
1.160,165.707,843.245,104.258,-110.323,15.652,10.692,3.188,10.978,0.174,0.000,-0.011,4,9.609,0.123,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.180,166.020,843.459,104.322,-110.103,15.652,10.670,3.187,11.001,0.174,0.000,-0.008,4,9.574,0.117,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.200,166.333,843.672,104.385,-109.882,15.653,10.650,3.186,11.021,0.174,0.000,-0.006,4,9.547,0.114,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.220,166.646,843.885,104.449,-109.662,15.653,10.631,3.184,11.040,0.174,0.000,-0.005,4,9.527,0.111,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.240,166.959,844.097,104.513,-109.441,15.654,10.615,3.182,11.056,0.173,0.000,-0.003,4,9.512,0.107,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.260,167.272,844.309,104.576,-109.219,15.654,10.600,3.180,11.071,0.173,0.000,-0.001,4,9.505,0.099,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.280,167.584,844.521,104.640,-108.998,15.654,10.588,3.178,11.084,0.173,0.000,0.001,4,9.509,0.092,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.300,167.897,844.733,104.703,-108.776,15.655,10.577,3.176,11.096,0.173,0.000,0.003,4,9.515,0.088,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.320,168.210,844.944,104.767,-108.554,15.655,10.568,3.175,11.105,0.173,0.000,0.005,4,9.522,0.083,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.340,168.523,845.155,104.830,-108.332,15.655,10.560,3.173,11.113,0.173,0.000,0.007,4,9.528,0.082,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.360,168.836,845.367,104.894,-108.109,15.655,10.555,3.172,11.119,0.172,0.000,0.009,4,9.531,0.081,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.380,169.149,845.578,104.957,-107.887,15.656,10.551,3.170,11.123,0.172,0.000,0.010,4,9.540,0.076,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.400,169.464,845.789,105.021,-107.664,15.656,10.549,3.169,11.126,0.172,0.000,0.012,4,9.550,0.070,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.420,169.777,846.000,105.084,-107.442,15.656,10.548,3.168,11.127,0.172,0.000,0.014,4,9.559,0.065,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.440,170.090,846.211,105.147,-107.219,15.656,10.549,3.167,11.126,0.172,0.000,0.016,4,9.566,0.064,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.460,170.403,846.422,105.211,-106.997,15.656,10.552,3.167,11.124,0.172,0.000,0.017,4,9.574,0.062,0.979,"Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);Ground_Mountain_0_1:(-0.144, 0.979, -0.142);"
1.480,170.716,846.633,105.274,-106.775,15.656,10.556,3.166,11.120,0.172,0.000,0.019,4,9.585,0.056,0.979,"Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);"
1.500,171.029,846.844,105.337,-106.552,15.656,10.562,3.166,11.114,0.172,0.000,0.020,4,9.594,0.051,0.979,"Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);Ground_Mountain_0_1:(-0.145, 0.979, -0.142);"
1.520,171.345,847.055,105.401,-106.330,15.656,10.570,3.166,11.107,0.172,0.000,0.022,4,9.597,0.052,0.979,"Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);"
1.540,171.658,847.267,105.464,-106.108,15.656,10.579,3.166,11.099,0.172,0.000,0.023,4,9.593,0.055,0.979,"Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);"
1.560,171.970,847.479,105.527,-105.886,15.656,10.589,3.166,11.089,0.172,0.000,0.025,4,9.591,0.056,0.979,"Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);Ground_Mountain_0_1:(-0.145, 0.979, -0.141);"
1.580,172.283,847.691,105.591,-105.665,15.656,10.601,3.166,11.078,0.172,0.000,0.026,4,9.603,0.049,0.979,"Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);"
1.600,172.596,847.903,105.654,-105.444,15.656,10.614,3.166,11.065,0.172,0.000,0.027,4,9.624,0.054,0.979,"Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);"
1.620,172.909,848.116,105.717,-105.223,15.656,10.629,3.167,11.051,0.172,0.000,0.029,4,9.636,0.051,0.979,"Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);"
1.640,173.226,848.329,105.781,-105.002,15.656,10.645,3.168,11.035,0.172,0.000,0.030,4,9.640,0.050,0.979,"Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);Ground_Mountain_0_1:(-0.146, 0.979, -0.141);"
1.660,173.539,848.542,105.844,-104.781,15.656,10.662,3.169,11.018,0.172,0.000,0.031,4,9.641,0.042,0.979,"Ground_Mountain_0_1:(-0.146, 0.979, -0.140);Ground_Mountain_0_1:(-0.146, 0.979, -0.140);Ground_Mountain_0_1:(-0.146, 0.979, -0.140);Ground_Mountain_0_1:(-0.146, 0.979, -0.140);Ground_Mountain_0_1:(-0.146, 0.979, -0.140);Ground_Mountain_0_1:(-0.146, 0.979, -0.140);"
1.680,173.852,848.755,105.907,-104.561,15.655,10.680,3.170,11.000,0.172,0.000,0.033,4,9.648,0.044,0.979,"Ground_Mountain_0_1:(-0.147, 0.979, -0.140);Ground_Mountain_0_1:(-0.147, 0.979, -0.140);Ground_Mountain_0_1:(-0.147, 0.979, -0.140);Ground_Mountain_0_1:(-0.147, 0.979, -0.140);Ground_Mountain_0_1:(-0.147, 0.979, -0.140);Ground_Mountain_0_1:(-0.147, 0.979, -0.140);"
1.700,174.165,848.969,105.971,-104.342,15.655,10.700,3.171,10.980,0.172,0.000,0.034,4,9.654,0.058,0.979,"Ground_Mountain_0_1:(-0.147, 0.979, -0.139);Ground_Mountain_0_1:(-0.147, 0.979, -0.139);Ground_Mountain_0_1:(-0.147, 0.979, -0.139);Ground_Mountain_0_1:(-0.147, 0.979, -0.139);Ground_Mountain_0_1:(-0.147, 0.979, -0.139);Ground_Mountain_0_1:(-0.147, 0.979, -0.139);"
1.720,174.478,849.184,106.034,-104.123,15.655,10.721,3.172,10.959,0.172,0.000,0.035,4,9.647,0.063,0.979,"Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);"
1.740,174.791,849.399,106.098,-103.904,15.655,10.743,3.173,10.937,0.172,0.000,0.036,4,9.647,0.049,0.979,"Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);"
1.760,175.108,849.614,106.161,-103.686,15.655,10.766,3.174,10.914,0.173,0.000,0.037,4,9.651,0.039,0.979,"Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);"
1.780,175.421,849.830,106.225,-103.468,15.654,10.791,3.175,10.889,0.173,0.000,0.038,4,9.651,0.029,0.979,"Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);Ground_Mountain_0_1:(-0.148, 0.979, -0.139);"
1.800,175.734,850.046,106.288,-103.250,15.654,10.816,3.176,10.863,0.173,0.000,0.039,4,9.639,0.035,0.979,"Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);"
1.820,176.046,850.263,106.352,-103.034,15.654,10.842,3.177,10.836,0.173,0.000,0.040,4,9.617,0.037,0.979,"Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);Ground_Mountain_0_1:(-0.149, 0.979, -0.139);"
1.840,176.359,850.480,106.415,-102.817,15.654,10.870,3.177,10.809,0.173,0.000,0.041,4,9.612,0.030,0.979,"Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);"
1.860,176.672,850.698,106.479,-102.602,15.654,10.898,3.177,10.780,0.173,0.000,0.042,4,9.614,0.022,0.979,"Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);"
1.880,176.989,850.916,106.542,-102.387,15.653,10.928,3.178,10.749,0.173,0.000,0.043,4,9.605,0.027,0.979,"Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);Ground_Mountain_0_1:(-0.149, 0.979, -0.137);"
1.900,177.302,851.136,106.606,-102.172,15.653,10.958,3.177,10.718,0.173,0.000,0.044,4,9.584,0.039,0.979,"Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);"
1.920,177.615,851.355,106.669,-101.959,15.653,10.989,3.177,10.686,0.173,0.000,0.045,4,9.557,0.034,0.979,"Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);Ground_Mountain_0_1:(-0.150, 0.979, -0.136);"
1.940,177.928,851.576,106.733,-101.745,15.653,11.022,3.176,10.653,0.174,0.000,0.046,4,9.558,0.033,0.979,"Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);"
1.960,178.241,851.797,106.796,-101.533,15.652,11.054,3.176,10.619,0.174,0.000,0.046,4,9.580,0.049,0.979,"Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);"
1.980,178.554,852.018,106.860,-101.321,15.652,11.088,3.176,10.584,0.174,0.000,0.047,4,9.600,0.045,0.979,"Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);Ground_Mountain_0_1:(-0.151, 0.979, -0.136);"
2.000,178.867,852.241,106.923,-101.110,15.652,11.122,3.176,10.548,0.174,0.000,0.048,4,9.601,0.045,0.979,"Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);"
2.020,179.183,852.464,106.987,-100.900,15.652,11.157,3.176,10.511,0.174,0.000,0.048,4,9.589,0.032,0.979,"Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);Ground_Mountain_0_1:(-0.152, 0.979, -0.135);"
2.040,179.496,852.687,107.050,-100.690,15.652,11.192,3.176,10.473,0.174,0.000,0.049,4,9.581,0.039,0.979,"Ground_Mountain_0_1:(-0.153, 0.979, -0.133);Ground_Mountain_0_1:(-0.153, 0.979, -0.133);Ground_Mountain_0_1:(-0.153, 0.979, -0.133);Ground_Mountain_0_1:(-0.153, 0.979, -0.133);Ground_Mountain_0_1:(-0.153, 0.979, -0.133);Ground_Mountain_0_1:(-0.153, 0.979, -0.133);"
2.060,179.809,852.912,107.114,-100.482,15.651,11.228,3.176,10.434,0.174,0.000,0.049,4,9.597,0.048,0.979,"Ground_Mountain_0_1:(-0.154, 0.979, -0.133);Ground_Mountain_0_1:(-0.154, 0.979, -0.133);Ground_Mountain_0_1:(-0.154, 0.979, -0.133);Ground_Mountain_0_1:(-0.154, 0.979, -0.133);Ground_Mountain_0_1:(-0.154, 0.979, -0.133);Ground_Mountain_0_1:(-0.154, 0.979, -0.133);"
2.080,180.121,853.137,107.178,-100.274,15.651,11.265,3.177,10.394,0.174,0.000,0.050,4,9.623,0.034,0.979,"Ground_Mountain_0_1:(-0.153, 0.979, -0.132);Ground_Mountain_0_1:(-0.153, 0.979, -0.132);Ground_Mountain_0_1:(-0.153, 0.979, -0.132);Ground_Mountain_0_1:(-0.153, 0.979, -0.132);Ground_Mountain_0_1:(-0.153, 0.979, -0.132);Ground_Mountain_0_1:(-0.153, 0.979, -0.132);"
2.100,180.434,853.363,107.241,-100.067,15.651,11.302,3.178,10.353,0.174,0.000,0.051,4,9.629,0.047,0.979,"Ground_Mountain_0_1:(-0.154, 0.979, -0.132);Ground_Mountain_0_1:(-0.154, 0.979, -0.132);Ground_Mountain_0_1:(-0.154, 0.979, -0.132);Ground_Mountain_0_1:(-0.154, 0.979, -0.132);Ground_Mountain_0_1:(-0.154, 0.979, -0.132);Ground_Mountain_0_1:(-0.154, 0.979, -0.132);"
2.120,180.747,853.590,107.305,-99.860,15.651,11.339,3.178,10.312,0.175,0.000,0.052,4,9.613,0.035,0.979,"Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);"
2.140,181.063,853.817,107.368,-99.655,15.650,11.377,3.179,10.269,0.175,0.000,0.052,4,9.616,0.029,0.979,"Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);"
2.160,181.376,854.045,107.432,-99.450,15.650,11.415,3.180,10.226,0.175,0.000,0.053,4,9.621,0.020,0.979,"Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);"
2.180,181.688,854.274,107.495,-99.246,15.650,11.454,3.180,10.182,0.175,0.000,0.053,4,9.619,0.010,0.979,"Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);"
2.200,182.001,854.504,107.559,-99.043,15.650,11.493,3.180,10.138,0.175,0.000,0.053,4,9.613,0.027,0.979,"Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);Ground_Mountain_0_1:(-0.155, 0.979, -0.132);"
