time,x,y,z,speed,wheels,up,station,clearance,throttle,brake,steer
1.859999,1162.04,152.4991,198.8372,25.38637,4,1,31.16271,0.1490936,1,0,2.640425E-05
1.879999,1161.547,152.4991,198.6974,25.5863,4,1,31.67447,0.1490936,1,0,2.755136E-05
1.899999,1161.051,152.4991,198.5566,25.78499,4,1,32.19017,0.1490936,1,0,2.771266E-05
1.919999,1160.552,152.4991,198.4147,25.98241,4,1,32.7098,0.1490936,1,0,2.875382E-05
1.939999,1160.048,152.4991,198.2717,26.1786,4,1,33.23336,0.1490936,1,0,2.920695E-05
1.959999,1159.54,152.4991,198.1277,26.37355,4,1,33.76086,0.1490936,1,0,2.907206E-05
1.979999,1159.029,152.4991,197.9826,26.56727,4,1,34.29216,0.1490936,1,0,2.834915E-05
1.999999,1158.514,152.4991,197.8364,26.75977,4,1,34.82739,0.1490936,1,0,2.890388E-05
2.019999,1157.996,152.4991,197.6893,26.95105,4,1,35.36643,0.1490936,1,0,2.74027E-05
2.039999,1157.474,152.4991,197.541,27.14115,4,1,35.90928,0.1490936,1,0,2.571127E-05
2.059999,1156.948,152.4991,197.3918,27.33003,4,1,36.45593,0.1490936,1,0,2.382959E-05
2.079999,1156.418,152.4991,197.2415,27.51772,4,1,37.00626,0.1490936,1,0,2.175767E-05
2.099999,1155.885,152.4991,197.0902,27.70424,4,1,37.5604,0.1490936,1,0,2.136115E-05
2.119999,1155.349,152.4991,196.9379,27.88957,4,1,38.11822,0.1490936,1,0,1.930652E-05
2.139999,1154.808,152.4991,196.7845,28.07374,4,1,38.67972,0.1490936,1,0,1.74594E-05
2.159999,1154.265,152.4991,196.6302,28.25676,4,1,39.2449,0.1490936,1,0,1.581982E-05
2.179999,1153.718,152.4991,196.4749,28.43862,4,1,39.81363,0.1490936,1,0,1.291989E-05
2.199999,1153.167,152.4991,196.3186,28.61933,4,1,40.38604,0.1490936,1,0,1.209314E-05
2.219999,1152.613,152.4991,196.1614,28.79891,4,1,40.96201,0.1490936,1,0,1.000605E-05
2.239999,1152.055,152.4991,196.0031,28.97734,4,1,41.54153,0.1490936,1,0,8.524255E-06
2.259999,1151.495,152.4991,195.8439,29.15467,4,1,42.1246,0.1490936,1,0,7.647769E-06
2.279999,1150.93,152.4991,195.6837,29.33087,4,1,42.71122,0.1490936,1,0,5.908708E-06
2.299999,1150.362,152.4991,195.5226,29.50596,4,1,43.30139,0.1490936,1,0,3.307073E-06
2.319999,1149.791,152.4991,195.3605,29.67995,4,1,43.89499,0.1490936,1,0,-1.571378E-07
2.339999,1149.217,152.4991,195.1975,29.85285,4,1,44.49202,0.1490936,1,0,-2.618266E-06
2.359999,1148.639,152.4991,195.0335,30.02465,4,1,45.09248,0.1490936,1,0,-4.076312E-06
2.379999,1148.058,152.4991,194.8687,30.19538,4,1,45.69635,0.1490936,1,0,-5.999156E-06
2.399999,1147.474,152.4991,194.7028,30.36502,4,1,46.30366,0.1490936,1,0,-8.386799E-06
2.419999,1146.887,152.4991,194.5361,30.5336,4,1,46.91438,0.1490936,1,0,-1.123924E-05
2.439999,1146.296,152.4991,194.3685,30.70111,4,1,47.52841,0.1490936,1,0,-1.602436E-05
2.459999,1145.702,152.4991,194.1999,30.86758,4,1,48.14574,0.1490936,1,0,-1.940862E-05
2.479999,1145.105,152.4991,194.0304,31.03299,4,1,48.76637,0.1490936,1,0,-2.139203E-05
2.499999,1144.505,152.4991,193.8601,31.19736,4,1,49.3903,0.1490936,1,0,-2.344245E-05
2.519999,1143.901,152.4991,193.6888,31.3607,4,1,50.01753,0.1490936,1,0,-2.55599E-05
2.539999,1143.295,152.4991,193.5167,31.523,4,1,50.64793,0.1490936,1,0,-2.921225E-05
2.559999,1142.685,152.4991,193.3437,31.68429,4,1,51.28162,0.1490936,1,0,-3.106596E-05
2.579999,1142.073,152.4991,193.1698,31.84455,4,1,51.9185,0.1490936,1,0,-3.445458E-05
2.599999,1141.457,152.4991,192.995,32.00381,4,1,52.55854,0.1490936,1,0,-3.751244E-05
2.619999,1140.838,152.4991,192.8194,32.16207,4,1,53.20176,0.1490936,1,0,-3.877167E-05
2.639999,1140.216,152.4991,192.6429,32.31932,4,1,53.84815,0.1490936,1,0,-4.116803E-05
2.659999,1139.592,152.4991,192.4655,32.47559,4,1,54.49771,0.1490936,1,0,-4.323362E-05
2.679999,1138.964,152.4991,192.2873,32.63087,4,1,55.15031,0.1490936,1,0,-4.643635E-05
2.699999,1138.333,152.4991,192.1083,32.78518,4,1,55.80597,0.1490936,1,0,-4.891055E-05
2.719999,1137.699,152.4991,191.9284,32.93851,4,1,56.46479,0.1490936,1,0,-4.918833E-05
2.739999,1137.063,152.4991,191.7477,33.09087,4,1,57.12666,0.1490936,1,0,-5.207112E-05
2.759999,1136.423,152.4991,191.5661,33.24228,4,1,57.79146,0.1490936,1,0,-5.422538E-05
2.779999,1135.781,152.4991,191.3837,33.39273,4,1,58.4593,0.1490936,1,0,-5.378545E-05
2.799999,1135.135,152.4991,191.2005,33.54224,4,1,59.13018,0.1490936,1,0,-5.408488E-05
2.819999,1134.487,152.4991,191.0165,33.6908,4,1,59.80399,0.1490936,1,0,-5.512364E-05
2.839999,1133.836,152.4991,190.8317,33.83843,4,1,60.48071,0.1490936,1,0,-5.503611E-05
2.859999,1133.182,152.4991,190.6461,33.98512,4,1,61.16036,0.1490936,1,0,-5.382227E-05
2.879999,1132.526,152.4991,190.4597,34.1309,4,1,61.84293,0.1490936,1,0,-5.148212E-05
2.899999,1131.866,152.4991,190.2725,34.27575,4,1,62.52841,0.1490936,1,0,-4.948354E-05
2.919999,1131.204,152.4991,190.0845,34.4197,4,1,63.21681,0.1490936,1,0,-4.782654E-05
2.939999,1130.539,152.4991,189.8957,34.56274,4,1,63.90801,0.1490936,1,0,-4.651111E-05
2.959999,1129.871,152.4991,189.7061,34.70487,4,1,64.60213,0.1490936,1,0,-4.220372E-05
2.979999,1129.201,152.4991,189.5157,34.84611,4,1,65.29904,0.1490936,1,0,-3.970578E-05
2.999999,1128.528,152.4991,189.3246,34.98646,4,1,65.99874,0.1490936,1,0,-3.568376E-05
3.019999,1127.852,152.4991,189.1328,35.12593,4,1,66.70123,0.1490936,1,0,-3.160553E-05
3.039999,1127.173,152.4991,188.9401,35.26451,4,1,67.40652,0.1490936,1,0,-2.74711E-05
3.059999,1126.492,152.4991,188.7467,35.40222,4,1,68.1146,0.1490936,1,0,-2.328047E-05
3.079999,1125.809,152.4991,188.5526,35.53907,4,1,68.82535,0.1490936,1,0,-1.903363E-05
3.099999,1125.122,152.4991,188.3577,35.67506,4,1,69.53888,0.1490936,1,0,-1.286494E-05
3.119999,1124.433,152.4991,188.162,35.81019,4,1,70.25509,0.1490936,1,0,-8.10792E-06
3.139999,1123.742,152.4991,187.9656,35.94447,4,1,70.97396,0.1490936,1,0,-1.429042E-06
3.159999,1123.048,152.4991,187.7685,36.0779,4,1,71.6955,0.1490936,1,0,5.703815E-06
3.179999,1122.351,152.4991,187.5707,36.21049,4,1,72.4197,0.1490936,1,0,1.329065E-05
3.199999,1121.652,152.4991,187.3721,36.34224,4,1,73.14656,0.1490936,1,0,1.986359E-05
3.219999,1120.95,152.4991,187.1728,36.47317,4,1,73.87598,0.1490936,1,0,2.68905E-05
3.239999,1120.246,152.4991,186.9729,36.60326,4,1,74.60804,0.1490936,1,0,3.623705E-05
3.259999,1119.539,152.4991,186.7722,36.73255,4,1,75.34265,0.1490936,1,0,4.310182E-05
3.279999,1118.83,152.4991,186.5708,36.86102,4,1,76.07993,0.1490936,1,0,5.228622E-05
3.299999,1118.118,152.4991,186.3687,36.98867,4,1,76.81973,0.1490936,1,0,5.898885E-05
3.319999,1117.404,152.4991,186.1659,37.11552,4,1,77.56208,0.1490936,1,0,6.507534E-05
3.339999,1116.688,152.4991,185.9624,37.24158,4,1,78.30696,0.1490936,1,0,7.20136E-05
3.359999,1115.969,152.4991,185.7583,37.36684,4,1,79.05426,0.1490936,1,0,7.833573E-05
3.379999,1115.247,152.4991,185.5534,37.49131,4,1,79.80409,0.1490936,1,0,8.590739E-05
3.399999,1114.524,152.4991,185.3479,37.615,4,1,80.55634,0.1490936,1,0,9.286292E-05
3.419999,1113.798,152.4991,185.1417,37.73791,4,1,81.31112,0.1490936,1,0,0.000101068
3.439999,1113.069,152.4991,184.9349,37.86004,4,1,82.06831,0.1490936,1,0,0.0001071891
3.459999,1112.339,152.4991,184.7274,37.98141,4,1,82.82791,0.1490936,1,0,0.0001130918
3.479999,1111.606,152.4991,184.5193,38.10201,4,1,83.58992,0.1490936,1,0,0.0001187761
3.499999,1110.87,152.4991,184.3105,38.22185,4,1,84.35434,0.1490936,1,0,0.0001242422
3.519999,1110.133,152.4991,184.1011,38.34093,4,1,85.12116,0.1490936,1,0,0.0001280219
3.539999,1109.393,152.4991,183.891,38.45927,4,1,85.89039,0.1490936,1,0,0.0001301155
3.559999,1108.65,152.4991,183.6803,38.57686,4,1,86.66191,0.1490936,1,0,0.0001305228
3.579999,1107.906,152.4991,183.4689,38.69371,4,1,87.43583,0.1490936,1,0,0.0001325775
3.599999,1107.159,152.4991,183.257,38.80983,4,1,88.21204,0.1490936,1,0,0.000131478
3.619999,1106.41,152.4991,183.0444,38.92521,4,1,88.99052,0.1490936,1,0,0.000130558
3.639999,1105.659,152.4991,182.8312,39.03986,4,1,89.77129,0.1490936,1,0,0.0001298173
3.659999,1104.906,152.4991,182.6174,39.15379,4,1,90.55434,0.1490936,1,0,0.0001277883
3.679999,1104.15,152.4991,182.403,39.26701,4,1,91.33968,0.1490936,1,0,0.0001244708
3.699999,1103.393,152.4991,182.188,39.37951,4,1,92.12728,0.1490936,1,0,0.0001198648
3.719999,1102.633,152.4991,181.9724,39.4913,4,1,92.91705,0.1490936,1,0,0.0001125025
3.739999,1101.871,152.4991,181.7562,39.6024,4,1,93.70909,0.1490936,1,0,0.0001057174
3.759999,1101.107,152.4991,181.5394,39.71278,4,1,94.50329,0.1490936,1,0,9.617594E-05
3.779999,1100.341,152.4991,181.322,39.82248,4,1,95.29977,0.1490936,1,0,8.72117E-05
3.799999,1099.572,152.4991,181.104,39.93148,4,1,96.0984,0.1490936,1,0,7.402326E-05
3.819999,1098.802,152.4991,180.8855,40.0398,4,1,96.89919,0.1490936,1,0,6.141201E-05
3.839999,1098.03,152.4991,180.6663,40.14743,4,1,97.70213,0.1490936,1,0,4.79101E-05
3.859999,1097.255,152.4991,180.4466,40.25439,4,1,98.50722,0.1490936,1,0,3.35175E-05
3.879999,1096.478,152.4991,180.2264,40.36067,4,1,99.31446,0.1490936,1,0,1.676635E-05
3.899999,1095.7,152.4991,180.0055,40.46628,4,1,100.1237,0.1490936,1,0,-2.343357E-06
3.919999,1094.919,152.4991,179.7841,40.57123,4,1,100.9352,0.1490936,1,0,-1.901021E-05
3.939999,1094.137,152.4991,179.5622,40.67552,4,1,101.7486,0.1490936,1,0,-3.803561E-05
3.959999,1093.352,152.4991,179.3397,40.77915,4,1,102.5642,0.1490936,1,0,-5.755391E-05
3.979999,1092.565,152.4991,179.1166,40.88213,4,1,103.3819,0.1490936,1,0,-7.943078E-05
3.999999,1091.777,152.4991,178.8929,40.98446,4,1,104.2015,0.1490936,1,0,-0.0001003327
4.019999,1090.986,152.4991,178.6688,41.08614,4,1,105.0232,0.1490936,1,0,-0.0001217274
4.039999,1090.194,152.4991,178.444,41.18718,4,1,105.847,0.1490936,1,0,-0.0001436151
4.059999,1089.399,152.4991,178.2187,41.28759,4,1,106.6727,0.1490936,1,0,-0.0001645278
4.079998,1088.603,152.4991,177.9929,41.38736,4,1,107.5005,0.1490936,1,0,-0.0001859334
4.099998,1087.805,152.4991,177.7665,41.4865,4,1,108.3302,0.1490936,1,0,-0.0002092998
4.119998,1087.005,152.4991,177.5396,41.58503,4,1,109.162,0.1490936,1,0,-0.0002298255
4.139998,1086.203,152.4991,177.3121,41.68291,4,1,109.9956,0.1490936,1,0,-0.0002508442
4.159998,1085.399,152.4991,177.0841,41.7802,4,1,110.8311,0.1490936,1,0,-0.0002690222
4.179998,1084.593,152.4991,176.8555,41.87688,4,1,111.6687,0.1490936,1,0,-0.0002858274
4.199998,1083.785,152.4991,176.6264,41.97294,4,1,112.5082,0.1490936,1,0,-0.0003031256
4.219998,1082.976,152.4991,176.3968,42.0684,4,1,113.3496,0.1490936,1,0,-0.000319051
4.239998,1082.165,152.4991,176.1666,42.16325,4,1,114.1929,0.1490936,1,0,-0.0003336036
4.259998,1081.351,152.4991,175.9359,42.2575,4,1,115.0381,0.1490936,1,0,-0.0003453156
4.279998,1080.537,152.4991,175.7047,42.35117,4,1,115.8851,0.1490936,1,0,-0.0003556548
4.299998,1079.72,152.4991,175.4729,42.44424,4,1,116.734,0.1490936,1,0,-0.0003612878
4.319998,1078.902,152.4991,175.2406,42.53673,4,1,117.5847,0.1490936,1,0,-0.000365548
4.339998,1078.081,152.4991,175.0077,42.62863,4,1,118.4373,0.1490936,1,0,-0.0003651018
4.359998,1077.26,152.4991,174.7743,42.71996,4,1,119.2917,0.1490936,1,0,-0.000363283
4.379999,1076.436,152.4991,174.5404,42.81071,4,1,120.1479,0.1490936,1,0,-0.0003567578
4.399999,1075.611,152.4991,174.306,42.90088,4,1,121.0058,0.1490936,1,0,0.0009119463
4.419999,1074.784,152.4991,174.071,42.99049,4,1,121.8656,0.1490936,1,0,-0.0003325244
4.439999,1073.955,152.4991,173.8356,43.07954,4,1,122.7271,0.1490936,1,0,-0.0003148161
4.459999,1073.124,152.4991,173.5996,43.16803,4,1,123.5904,0.1490936,1,0,0.0005948681
4.479999,1072.292,152.4991,173.3632,43.25596,4,1,124.4555,0.1490936,1,0,-0.0002740879
4.499999,1071.458,152.4991,173.1262,43.34333,4,1,125.3224,0.1490936,1,0,-0.000251068
4.519999,1070.623,152.4991,172.8887,43.43015,4,1,126.1911,0.1490936,1,0,-0.0002277455
4.539999,1069.786,152.4991,172.6508,43.51643,4,1,127.0614,0.1490936,1,0,0.0006875529
4.559999,1068.947,152.4991,172.4124,43.60217,4,1,127.9335,0.1490936,1,0,0.0007148143
4.579998,1068.106,152.4991,172.1735,43.68735,4,1,128.8072,0.1490936,1,0,-0.000147827
4.599998,1067.264,152.4991,171.9342,43.77201,4,1,129.6826,0.1490936,1,0,-0.0001195625
4.619998,1066.421,152.4991,171.6944,43.85613,4,1,130.5598,0.1490936,1,0,0.0008010756
4.639998,1065.575,152.4991,171.4541,43.93973,4,1,131.4386,0.1490936,1,0,-6.133009E-05
4.659998,1064.728,152.4991,171.2134,44.0228,4,1,132.3191,0.1490936,1,0,-3.429787E-05
4.679998,1063.88,152.4991,170.9723,44.10535,4,1,133.2012,0.1490936,1,0,-8.033103E-06
4.699998,1063.03,152.4991,170.7307,44.18737,4,1,134.0849,0.1490936,1,0,1.746421E-05
4.719998,1062.178,152.4991,170.4887,44.26888,4,1,134.9703,0.1490936,1,0,4.219407E-05
4.739998,1061.325,152.4991,170.2463,44.34986,4,1,135.8574,0.1490936,1,0,6.46886E-05
4.759998,1060.47,152.4991,170.0034,44.43035,4,1,136.7459,0.1490936,1,0,8.641568E-05
4.779998,1059.614,152.4991,169.7601,44.51033,4,1,137.6362,0.1490936,1,0,0.000109241
4.799998,1058.756,152.4991,169.5164,44.5898,4,1,138.5279,0.1490936,1,0,0.0001298309
4.819998,1057.896,152.4991,169.2722,44.66877,4,1,139.4213,0.1490936,1,0,0.0001515191
4.839998,1057.036,152.4991,169.0276,44.74725,4,1,140.3162,0.1490936,1,0,0.0001709719
4.859998,1056.173,152.4991,168.7827,44.82523,4,1,141.2127,0.1490936,1,0,0.000190055
4.879998,1055.309,152.4991,168.5373,44.90272,4,1,142.1108,0.1490936,1,0,0.000205435
4.899998,1054.444,152.4991,168.2915,44.97972,4,1,143.0104,0.1490936,1,0,0.0002204452
4.919998,1053.577,152.4991,168.0453,45.05624,4,1,143.9115,0.1490936,1,0,0.0002350858
4.939998,1052.709,152.4991,167.7986,45.13227,4,1,144.8141,0.1490936,1,0,0.0002478889
4.959998,1051.839,152.4991,167.5516,45.20783,4,1,145.7183,0.1490936,1,0,0.0002603222
4.979998,1050.968,152.4991,167.3042,45.2829,4,1,146.6239,0.1490936,1,0,0.000270918
4.999998,1050.095,152.4991,167.0565,45.3575,4,1,147.5311,0.1490936,1,0,0.0002782084
5.019998,1049.221,152.4991,166.8083,45.43164,4,1,148.4398,0.1490936,1,0,0.0002836612
5.039998,1048.346,152.4991,166.5598,45.50531,4,1,149.3499,0.1490936,1,0,0.0002858086
5.059998,1047.469,152.4991,166.3108,45.57851,4,1,150.2615,0.1490936,1,0,0.0002865162
5.079998,1046.59,152.4991,166.0616,45.65126,4,1,151.1745,0.1490936,1,0,0.0002839183
5.099998,1045.711,152.4991,165.8119,45.72355,4,1,152.089,0.1490936,1,0,0.0002798807
5.119998,1044.829,152.4991,165.5619,45.79538,4,1,153.0049,0.1490936,1,0,0.0002710698
5.139998,1043.947,152.4991,165.3115,45.86675,4,1,153.9221,0.1490936,1,0,0.0002608191
5.159998,1043.063,152.4991,165.0608,45.93769,4,1,154.8409,0.1490936,1,0,0.0002491286
5.179998,1042.178,152.4991,164.8097,46.00816,4,1,155.7611,0.1490936,1,0,0.0002311969
5.199998,1041.291,152.4991,164.5582,46.0782,4,1,156.6827,0.1490936,1,0,-0.0006798478
5.219998,1040.403,152.4991,164.3064,46.1478,4,1,157.6056,0.1490936,1,0,-0.0007021269
5.239998,1039.514,152.4991,164.0543,46.21696,4,1,158.53,0.1490936,1,0,0.0001628916
5.259998,1038.623,152.4991,163.8018,46.28568,4,1,159.4557,0.144577,1,0,0.0001347971
5.279998,1037.731,152.4991,163.5489,46.35397,4,1,160.3828,0.1283722,1,0,0.0001052629
5.299998,1036.838,152.4993,163.2957,46.42183,4,1,161.3111,0.09980774,1,0,-0.0008159165
5.319998,1035.944,152.4999,163.0421,46.48926,4,0.9999996,162.2407,0.05880737,1,0,-0.000843131
