time,car,direction,station,lateral,lane_error,speed,target,grounded
17.84,3,-1,4533.16,-2.01,0.04,28.73,29.00,4
18.04,0,1,3942.48,6.14,0.01,27.36,27.55,4
18.04,1,-1,4477.40,-6.00,0.15,27.37,27.55,4
18.04,2,1,3891.33,2.12,0.07,28.79,29.00,4
18.04,3,-1,4527.39,-1.99,0.06,28.75,29.00,4
18.24,0,1,3947.96,6.14,0.01,27.36,27.55,4
18.24,1,-1,4471.91,-6.02,0.13,27.37,27.55,4
18.24,2,1,3897.09,2.09,0.04,28.79,29.00,4
18.24,3,-1,4521.62,-1.98,0.07,28.76,29.00,4
18.44,0,1,3953.43,6.14,0.01,27.36,27.55,4
18.44,1,-1,4466.44,-6.05,0.10,27.37,27.55,4
18.44,2,1,3902.85,2.07,0.02,28.79,29.00,4
18.44,3,-1,4515.84,-1.97,0.08,28.77,29.00,4
18.64,0,1,3958.91,6.15,0.00,27.36,27.55,4
18.64,1,-1,4460.97,-6.08,0.07,27.38,27.55,4
18.64,2,1,3908.62,2.05,0.00,28.79,29.00,4
18.64,3,-1,4510.05,-1.96,0.09,28.78,29.00,4
18.86,0,1,3964.83,6.15,0.00,27.36,27.55,4
18.86,1,-1,4455.07,-6.11,0.04,27.38,27.55,4
18.86,2,1,3914.86,2.04,0.01,28.79,29.00,4
18.86,3,-1,4503.80,-1.93,0.12,28.78,29.00,4
19.06,0,1,3970.32,6.15,0.00,27.36,27.55,4
19.06,1,-1,4449.62,-6.13,0.02,27.38,27.55,4
19.06,2,1,3920.64,2.03,0.02,28.79,29.00,4
19.06,3,-1,4498.00,-1.91,0.14,28.79,29.00,4
19.26,0,1,3975.81,6.15,0.00,27.36,27.55,4
19.26,1,-1,4444.19,-6.15,0.00,27.12,27.02,4
19.26,2,1,3926.41,2.03,0.02,28.79,29.00,4
19.26,3,-1,4492.21,-1.90,0.15,28.79,29.00,4
19.46,0,1,3981.29,6.15,0.00,27.36,27.55,4
19.46,1,-1,4438.88,-6.17,0.02,26.50,26.66,4
19.46,2,1,3932.18,2.03,0.02,28.79,29.00,4
19.46,3,-1,4486.44,-1.90,0.15,28.79,29.00,4
19.66,0,1,3986.79,6.15,0.00,27.36,27.55,4
19.66,1,-1,4433.68,-6.18,0.03,26.14,25.53,4
19.66,2,1,3937.97,2.03,0.02,28.79,29.00,4
19.66,3,-1,4480.64,-1.91,0.14,28.80,29.00,4
19.86,0,1,3992.26,6.15,0.00,27.36,27.55,4
19.86,1,-1,4428.68,-6.16,0.01,25.24,25.58,4
19.86,2,1,3943.73,2.03,0.02,28.79,29.00,4
19.86,3,-1,4474.87,-1.92,0.13,28.80,29.00,4
20.06,0,1,3997.74,6.16,0.01,27.36,27.55,4
20.06,1,-1,4423.90,-6.14,0.01,24.84,25.07,4
20.06,2,1,3949.50,2.04,0.01,28.79,29.00,4
20.06,3,-1,4469.10,-1.95,0.10,28.80,29.00,4
20.27,0,1,4003.22,6.16,0.01,27.36,27.55,4
20.27,1,-1,4419.18,-6.16,0.01,24.98,26.11,4
20.27,2,1,3955.27,2.04,0.01,28.79,29.00,4
20.27,3,-1,4463.33,-1.97,0.08,28.80,29.00,4
20.47,0,1,4008.70,6.16,0.01,27.36,27.55,4
20.47,1,-1,4414.47,-6.24,0.09,25.17,25.28,4
20.47,2,1,3961.04,2.05,0.00,28.79,29.00,4
20.47,3,-1,4457.56,-2.00,0.05,28.81,29.00,4
20.67,0,1,4014.19,6.16,0.01,27.36,27.55,4
20.67,1,-1,4409.73,-6.42,0.27,25.77,26.58,4
20.67,2,1,3966.82,2.05,0.00,28.79,29.00,4
20.67,3,-1,4451.79,-2.02,0.03,28.81,29.00,4
20.87,0,1,4019.69,6.16,0.01,27.36,27.55,4
20.87,1,-1,4404.76,-6.66,0.51,25.50,26.17,4
20.87,2,1,3972.61,2.05,0.00,28.79,29.00,4
20.87,3,-1,4446.01,-2.04,0.01,28.80,28.96,4
21.07,0,1,4025.17,6.16,0.01,27.36,27.55,4
21.07,1,-1,4399.55,-6.84,0.69,25.11,25.28,4
21.07,2,1,3978.38,2.05,0.00,28.79,29.00,4
21.07,3,-1,4440.32,-2.06,0.01,27.90,26.75,4
21.27,0,1,4030.67,6.16,0.01,27.36,27.55,4
21.27,1,-1,4394.33,-6.82,0.67,23.11,22.30,4
21.27,2,1,3984.17,2.05,0.00,28.79,29.00,4
21.27,3,-1,4434.85,-2.07,0.02,26.67,26.86,4
21.47,0,1,4036.15,6.16,0.01,27.37,27.55,4
21.47,1,-1,4389.53,-6.63,0.48,22.27,25.69,4
21.47,2,1,3989.94,2.05,0.00,28.79,29.00,4
