time,x,y,z,speed,wheels,up,trafficNearJoin
4.399999,-711.2614,8.558367,537.9202,28.8799,4,0.9999996,2
4.419999,-710.6839,8.557811,537.9307,28.87991,4,0.9999996,2
4.439999,-710.1064,8.557253,537.9413,28.87992,4,0.9999996,2
4.459999,-709.5289,8.556694,537.9518,28.87993,4,0.9999996,2
4.479999,-708.9514,8.556133,537.9624,28.87994,4,0.9999996,2
4.499999,-708.3738,8.555572,537.973,28.87995,4,0.9999996,2
4.519999,-707.7963,8.555008,537.9835,28.87995,4,0.9999995,2
4.539999,-707.2188,8.554443,537.9941,28.87996,4,0.9999995,2
4.559999,-706.6413,8.553877,538.0048,28.87997,4,0.9999995,2
4.579998,-706.0638,8.553309,538.0154,28.87997,4,0.9999995,2
4.599998,-705.4863,8.55274,538.0259,28.87998,4,0.9999995,2
4.619998,-704.9088,8.55217,538.0365,28.87999,4,0.9999995,2
4.639998,-704.3312,8.551599,538.0471,28.88,4,0.9999995,2
4.659998,-703.7537,8.551025,538.0576,28.88,4,0.9999995,2
4.679998,-703.1762,8.550451,538.0682,28.88001,4,0.9999995,2
4.699998,-702.5987,8.549876,538.0787,28.88002,4,0.9999995,2
4.719998,-702.0212,8.549299,538.0893,28.88003,4,0.9999995,2
4.739998,-701.4437,8.548721,538.0999,28.88003,4,0.9999995,2
4.759998,-700.8661,8.548142,538.1104,28.88004,4,0.9999995,2
4.779998,-700.2886,8.547563,538.121,28.88004,4,0.9999995,2
4.799998,-699.7111,8.546982,538.1315,28.88005,4,0.9999995,2
4.819998,-699.1335,8.5464,538.1421,28.88005,4,0.9999995,2
4.839998,-698.556,8.545817,538.1526,28.88006,4,0.9999995,2
4.859998,-697.9785,8.545234,538.1631,28.88007,4,0.9999995,2
4.879998,-697.401,8.544649,538.1736,28.88007,4,0.9999995,2
4.899998,-696.8235,8.544064,538.1841,28.88008,4,0.9999995,2
4.919998,-696.246,8.543477,538.1946,28.88008,4,0.9999995,2
4.939998,-695.6685,8.542891,538.205,28.88009,4,0.9999995,2
4.959998,-695.0909,8.542303,538.2155,28.88009,4,0.9999995,2
4.979998,-694.5134,8.541715,538.2259,28.88009,4,0.9999995,2
4.999998,-693.9359,8.541125,538.2363,28.8801,4,0.9999995,2
5.019998,-693.3584,8.540536,538.2467,28.8801,4,0.9999995,2
5.039998,-692.7809,8.539946,538.2571,28.88011,4,0.9999995,2
5.059998,-692.2034,8.539354,538.2675,28.88011,4,0.9999995,2
5.079998,-691.6259,8.538763,538.2778,28.88011,4,0.9999995,2
5.099998,-691.0483,8.538171,538.2881,28.88012,4,0.9999995,2
5.119998,-690.4708,8.537578,538.2985,28.88012,4,0.9999995,2
5.139998,-689.8933,8.536984,538.3088,28.88012,4,0.9999995,2
5.159998,-689.3158,8.53639,538.319,28.88013,4,0.9999995,2
5.179998,-688.7383,8.535795,538.3293,28.88013,4,0.9999995,2
5.199998,-688.1608,8.535199,538.3395,28.88013,4,0.9999995,2
5.219998,-687.5833,8.534603,538.3497,28.88014,4,0.9999995,2
5.239998,-687.0057,8.534006,538.3599,28.88014,4,0.9999995,2
5.259998,-686.4282,8.533408,538.37,28.88014,4,0.9999995,2
5.279998,-685.8507,8.53281,538.3801,28.88015,4,0.9999995,2
5.299998,-685.2732,8.532211,538.3902,28.88015,4,0.9999995,2
5.319998,-684.6957,8.531611,538.4003,28.88015,4,0.9999995,2
5.339998,-684.1182,8.531012,538.4103,28.88015,4,0.9999995,2
5.359998,-683.5406,8.530411,538.4203,28.88016,4,0.9999995,2
5.379998,-682.9631,8.529809,538.4302,28.88016,4,0.9999995,2
5.399998,-682.3856,8.529207,538.4402,28.88016,4,0.9999995,2
5.419998,-681.8081,8.528605,538.4501,28.88016,4,0.9999995,2
5.439998,-681.2306,8.528003,538.46,28.88017,4,0.9999995,2
5.459998,-680.6531,8.5274,538.4698,28.88017,4,0.9999995,2
5.479998,-680.0756,8.526796,538.4796,28.88018,4,0.9999995,2
5.499998,-679.498,8.526193,538.4894,28.88017,4,0.9999995,2
5.519998,-678.9205,8.525589,538.4991,28.88018,4,0.9999995,2
5.539998,-678.343,8.524985,538.5089,28.88018,4,0.9999995,2
5.559998,-677.7655,8.524382,538.5185,28.88018,4,0.9999995,2
5.579998,-677.188,8.523777,538.5281,28.88018,4,0.9999995,2
5.599998,-676.6105,8.523172,538.5377,28.88019,4,0.9999995,2
5.619998,-676.033,8.522568,538.5473,28.88019,4,0.9999995,2
5.639998,-675.4554,8.521963,538.5568,28.88019,4,0.9999995,2
5.659998,-674.8779,8.521358,538.5663,28.8802,4,0.9999995,2
5.679998,-674.3004,8.520754,538.5757,28.8802,4,0.9999995,2
5.699998,-673.7229,8.520149,538.5851,28.8802,4,0.9999995,2
5.719998,-673.1454,8.519546,538.5945,28.8802,4,0.9999995,1
5.739998,-672.5679,8.518942,538.6038,28.8802,4,0.9999995,1
5.759998,-671.9904,8.518338,538.613,28.8802,4,0.9999995,1
5.779998,-671.4128,8.517735,538.6223,28.88021,4,0.9999995,1
5.799998,-670.8353,8.517131,538.6314,28.8802,4,0.9999995,1
5.819998,-670.2578,8.516527,538.6405,28.8802,4,0.9999995,1
5.839998,-669.6803,8.515924,538.6496,28.88021,4,0.9999995,1
5.859998,-669.1028,8.515322,538.6586,28.88021,4,0.9999995,1
5.879998,-668.5253,8.514719,538.6676,28.88021,4,0.9999995,1
5.899998,-667.9478,8.514116,538.6765,28.88021,4,0.9999995,1
5.919998,-667.3702,8.513515,538.6854,28.88021,4,0.9999995,1
5.939998,-666.7927,8.512913,538.6942,28.88021,4,0.9999995,1
5.959998,-666.2152,8.512312,538.703,28.88021,4,0.9999995,1
5.979998,-665.6377,8.511711,538.7117,28.88021,4,0.9999995,1
5.999998,-665.0602,8.511111,538.7204,28.88021,4,0.9999995,1
6.019998,-664.4827,8.510511,538.729,28.88021,4,0.9999995,1
6.039998,-663.9052,8.509912,538.7375,28.88021,4,0.9999995,1
6.059998,-663.3276,8.509314,538.746,28.88021,4,0.9999995,1
6.079998,-662.7501,8.508716,538.7545,28.88021,4,0.9999995,1
6.099998,-662.1726,8.508118,538.7628,28.88021,4,0.9999995,1
6.119998,-661.5951,8.507521,538.7711,28.88021,4,0.9999995,1
6.139998,-661.0176,8.506924,538.7794,28.8802,4,0.9999995,1
6.159998,-660.44,8.506328,538.7875,28.8802,4,0.9999995,1
6.179998,-659.8624,8.505733,538.7957,28.8802,4,0.9999995,1
6.199998,-659.2849,8.505137,538.8037,28.8802,4,0.9999995,1
6.219998,-658.7073,8.504543,538.8117,28.8802,4,0.9999995,1
6.239998,-658.1297,8.50395,538.8196,28.8802,4,0.9999995,1
6.259998,-657.5521,8.503358,538.8275,28.8802,4,0.9999995,1
