"Mode","Case","Time","Before","At","AfterHalfSecond","Drop","VelocityBefore","VelocityAt","VelocityAfter","X","Y","Z","Travel","Throttle","Brake","Steering","Grounded","Water","Up","Lift","Torque","Contact"
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","3.460","-12.060","-13.062","-29.141","1.002","32.054","32.056","32.493","-623.795","17.108","-103.455","118.507","1.000","0.000","-0.500","0","0.000","0.627","0.000","0.875",""
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","4.560","-23.548","-26.342","-27.903","2.794","33.860","32.905","31.631","-622.996","8.470","-137.898","152.958","1.000","0.000","0.500","0","0.000","0.932","0.000","1.171","Ground_80_240:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-yes","moto-36-1.7","4.580","-26.342","-27.903","-27.903","1.561","32.905","31.631","31.631","-622.966","8.306","-138.539","153.599","1.000","0.000","0.500","2","0.000","0.976","22.500","28.433","Ground_80_240:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-yes","original-24--1.5","5.560","22.340","19.950","22.953","2.39","24.336","20.210","22.954","-628.807","8.088","-110.626","125.595","0.848","0.000","-0.401","4","0.000","1.000","45.000","1.307",""
"StreetLoopGreybox-roam-opposite-yes","original-24--3","5.560","22.339","19.888","22.974","2.451","24.335","20.086","22.975","-630.310","8.093","-110.650","125.594","0.849","0.000","-0.402","4","0.000","1.000","45.000","1.282",""
"StreetLoopGreybox-roam-opposite-yes","original-24--4.7","5.220","8.321","6.737","12.833","1.584","23.305","21.802","13.290","-631.901","8.584","-103.954","118.872","1.000","0.000","0.500","2","0.000","0.983","22.500","1.427",""
"StreetLoopGreybox-roam-opposite-yes","original-24-0","5.560","22.339","19.897","22.968","2.442","24.336","20.103","22.968","-627.306","8.092","-110.603","125.596","0.849","0.000","-0.401","4","0.000","1.000","45.000","1.306",""
"StreetLoopGreybox-roam-opposite-yes","original-24-1.7","5.240","12.745","11.272","16.148","1.473","24.010","23.162","16.197","-622.707","8.801","-104.799","119.869","1.000","0.000","-0.500","1","0.000","0.957","11.250","0.604",""
"StreetLoopGreybox-roam-opposite-yes","tourer-36-1.7","4.840","-8.427","-10.470","-11.215","2.043","32.904","31.831","30.926","-620.967","8.421","-142.982","158.076","1.000","0.000","-0.500","1","0.000","0.983","11.250","0.606",""
"StreetLoopReverse-roam-opposite-no","atv-12-1.7","7.760","11.940","10.593","11.316","1.347","11.942","10.594","11.380","-624.293","9.026","-76.860","91.908","0.050","0.000","0.446","4","0.000","0.797","11.129","1.165","Reverse supported roadworks transition:(0.38, 0.92, 0.00)"
"StreetLoopReverse-roam-opposite-no","atv-12-1.7","7.780","10.593","6.350","11.387","4.243","10.594","6.397","11.458","-624.288","9.014","-76.986","92.033","0.030","0.000","0.461","4","0.000","0.813","10.560","2.530","Reverse supported roadworks transition:(0.38, 0.92, 0.00)"
"StreetLoopReverse-roam-opposite-no","atv-12-1.7","7.800","6.350","5.281","11.445","1.069","6.397","5.429","11.522","-624.284","9.004","-77.094","92.141","0.703","0.000","0.500","4","0.000","0.825","9.176","3.605","Ground_80_320:(0.00, 1.00, 0.00)"
"StreetLoopReverse-roam-opposite-no","atv-24--4.7","2.360","23.843","10.003","15.550","13.84","23.845","10.074","15.562","-632.081","9.152","-41.068","55.992","0.077","0.000","-0.119","4","0.000","0.988","11.032","1.329","Reverse supported roadworks transition:(-0.14, 0.99, 0.04)"
"StreetLoopReverse-roam-opposite-no","atv-24--4.7","3.420","20.922","12.585","6.409","8.337","20.923","12.607","6.444","-631.344","10.907","-57.556","72.490","1.000","0.000","-0.289","4","0.000","0.961","8.121","2.896","Reverse supported roadworks transition:(-0.25, 0.96, 0.12)"
"StreetLoopReverse-roam-opposite-no","atv-24--4.7","3.660","14.928","11.706","7.170","3.222","14.956","11.769","7.211","-631.674","11.255","-60.818","75.746","1.000","0.000","-0.346","2","0.000","0.953","6.747","6.627","Reverse supported roadworks transition:(-0.28, 0.95, 0.12)"
"StreetLoopReverse-roam-opposite-no","atv-24--4.7","3.680","11.706","3.585","7.173","8.121","11.769","3.910","7.217","-631.702","11.266","-60.891","75.818","1.000","0.000","-0.336","2","0.000","0.952","6.829","6.726","Reverse supported roadworks transition:(-0.28, 0.95, 0.12)"
"StreetLoopReverse-roam-opposite-no","atv-24--4.7","5.280","21.023","18.811","14.373","2.212","21.025","18.855","14.395","-631.479","8.801","-79.607","94.535","1.000","0.000","0.437","4","0.000","0.953","14.076","3.392","Ground_80_320:(-0.01, 1.00, 0.00)"
"StreetLoopReverse-roam-opposite-no","atv-24--4.7","5.540","21.189","11.671","17.364","9.518","21.227","11.859","17.370","-631.960","8.276","-84.560","99.480","1.000","0.000","-0.437","4","0.000","0.997","18.837","3.076","Ground_80_320:(-0.01, 1.00, 0.00)"
"StreetLoopReverse-roam-opposite-no","atv-24-1.7","2.360","23.845","12.027","13.469","11.818","23.847","12.088","13.476","-625.527","9.156","-41.000","56.031","0.076","0.000","0.118","4","0.000","0.989","11.468","1.205","Reverse supported roadworks transition:(0.13, 0.99, 0.05)"
