time,racer,x,y,z,speed,grounded,branch,position,earned,rejoinSeconds,road,nextGate,misses,penalty,buzzes
4.680,YOU reference pilot,322.717,12.605,529.080,16.597,4,none,0.000,0.000,0.000,4656.931,0,0,0.000,0
4.680,EMBER,318.219,14.054,522.006,15.560,4,none,0.000,0.000,0.000,4664.274,0,0,0.000,0
4.680,GOLD,321.864,16.376,510.120,20.959,4,none,0.000,0.000,0.000,2.036,1,0,0.000,0
4.680,BLUE,317.614,17.622,504.644,19.473,4,none,0.000,0.000,0.000,7.824,1,0,0.000,0
4.820,YOU reference pilot,322.707,13.071,526.721,17.610,4,none,0.000,0.000,0.000,4659.292,0,0,0.000,0
4.820,EMBER,318.214,14.509,519.795,16.548,4,none,0.000,0.000,0.000,4666.516,0,0,0.000,0
4.820,GOLD,321.768,17.026,507.156,22.241,4,none,0.000,0.000,0.000,5.052,1,0,0.000,0
4.820,BLUE,317.579,18.242,501.893,20.650,4,none,0.000,0.000,0.000,10.618,1,0,0.000,0
4.940,YOU reference pilot,322.682,13.496,524.593,18.440,4,none,0.000,0.000,0.000,4661.438,0,0,0.000,0
4.940,EMBER,318.195,14.926,517.796,17.363,4,none,0.000,0.000,0.000,4668.545,0,0,0.000,0
4.940,GOLD,321.684,17.622,504.480,23.292,4,none,0.000,0.000,0.000,7.778,1,0,0.000,0
4.940,BLUE,317.544,18.808,499.412,21.614,4,none,0.000,0.000,0.000,13.140,1,0,0.000,0
5.080,YOU reference pilot,322.636,14.022,521.990,19.367,4,none,0.000,0.000,0.000,4664.068,0,0,0.000,0
5.080,EMBER,318.156,15.442,515.346,18.276,4,none,0.000,0.000,0.000,4671.032,0,0,0.000,0
5.080,GOLD,321.587,18.362,501.210,24.464,4,none,0.000,0.000,0.000,11.115,1,0,0.000,0
5.080,BLUE,317.499,19.511,496.381,22.689,4,none,0.000,0.000,0.000,16.226,1,0,0.000,0
5.220,YOU reference pilot,322.573,14.582,519.266,20.251,4,none,0.000,0.000,0.000,4666.828,0,0,0.000,0
5.220,EMBER,318.098,15.990,512.776,19.151,4,none,0.000,0.000,0.000,4673.645,0,0,0.000,0
5.220,GOLD,321.497,19.152,497.788,25.582,4,none,0.000,0.000,0.000,14.623,1,0,0.000,0
5.220,BLUE,317.451,20.256,493.210,23.712,4,none,0.000,0.000,0.000,19.455,1,0,0.000,0
5.340,YOU reference pilot,322.507,15.087,516.839,20.974,4,none,0.000,0.000,0.000,4669.291,0,0,0.000,0
5.340,EMBER,318.035,16.486,510.482,19.872,4,none,0.000,0.000,0.000,1.862,1,0,0.000,0
5.340,GOLD,321.427,19.869,494.738,26.496,4,none,0.000,0.000,0.000,17.747,1,0,0.000,0
5.340,BLUE,317.412,20.930,490.386,24.549,4,none,0.000,0.000,0.000,22.336,1,0,0.000,0
5.480,YOU reference pilot,322.420,15.708,513.905,21.781,4,none,0.000,0.000,0.000,4672.274,0,0,0.000,0
5.480,EMBER,317.947,17.094,507.703,20.680,4,none,0.000,0.000,0.000,4.692,1,0,0.000,0
5.480,GOLD,321.357,20.750,491.052,27.516,4,none,0.000,0.000,0.000,21.539,1,0,0.000,0
