time,x,y,z,speed,wheels,up
2.839999,-1028.78,8.758991,537.7146,11.89716,4,1
2.859999,-1028.58,8.758991,537.5836,11.89756,4,1
2.879999,-1028.383,8.758991,537.45,11.8979,4,1
2.899999,-1028.187,8.758991,537.3138,11.89817,4,1
2.919999,-1027.993,8.758991,537.1751,11.89839,4,1
2.939999,-1027.8,8.758991,537.0339,11.89857,4,1
2.959999,-1027.61,8.758991,536.8903,11.89872,4,1
2.979999,-1027.421,8.758991,536.7441,11.89884,4,1
2.999999,-1027.234,8.758991,536.5956,11.89894,4,1
3.019999,-1027.049,8.758991,536.4446,11.89902,4,1
3.039999,-1026.866,8.758991,536.2913,11.89908,4,1
3.059999,-1026.686,8.758991,536.1357,11.89913,4,1
3.079999,-1026.507,8.758991,535.9777,11.89917,4,1
3.099999,-1026.33,8.758991,535.8174,11.89921,4,1
3.119999,-1026.155,8.758991,535.6548,11.89924,4,1
3.139999,-1025.983,8.758991,535.49,11.89926,4,1
3.159999,-1025.812,8.758991,535.3229,11.89927,4,1
3.179999,-1025.644,8.758991,535.1537,11.89928,4,1
3.199999,-1025.478,8.758991,534.9823,11.8993,4,1
3.219999,-1025.314,8.758991,534.8088,11.8993,4,1
3.239999,-1025.152,8.758991,534.6331,11.89931,4,1
3.259999,-1024.993,8.758991,534.4554,11.89932,4,1
3.279999,-1024.836,8.758991,534.2756,11.89932,4,1
3.299999,-1024.681,8.758991,534.0939,11.89932,4,1
3.319999,-1024.529,8.758991,533.9101,11.89932,4,1
3.339999,-1024.379,8.758991,533.7244,11.89933,4,1
3.359999,-1024.231,8.758991,533.5367,11.89932,4,1
3.379999,-1024.086,8.758991,533.3472,11.89933,4,1
3.399999,-1023.944,8.758991,533.1558,11.89933,4,1
3.419999,-1023.804,8.758991,532.9626,11.89933,4,1
3.439999,-1023.666,8.758991,532.7676,11.89933,4,1
3.459999,-1023.531,8.758991,532.5708,11.89933,4,1
3.479999,-1023.399,8.758991,532.3723,11.89933,4,1
3.499999,-1023.269,8.758991,532.1721,11.89933,4,1
3.519999,-1023.141,8.75801,531.9697,11.89938,3,0.9999989
3.539999,-1023.017,8.756039,531.7653,11.89978,3,0.999991
3.559999,-1022.895,8.753069,531.5589,11.90067,3,0.9999685
3.579999,-1022.776,8.749101,531.3507,11.90211,3,0.9999236
3.599999,-1022.659,8.742908,531.1404,11.90452,2,0.9998374
3.619999,-1022.545,8.73436,530.9283,11.90821,2,0.9996906
3.639999,-1022.433,8.723341,530.7143,11.91322,2,0.9994628
3.659999,-1022.324,8.709761,530.4986,11.91952,2,0.9991352
3.679999,-1022.217,8.693563,530.2814,11.92701,2,0.998691
3.699999,-1022.113,8.674717,530.0626,11.93556,2,0.9981155
3.719999,-1022.012,8.65322,529.8444,11.83824,2,0.9973956
3.739999,-1021.914,8.629105,529.6244,11.86505,2,0.9965171
3.759999,-1021.816,8.601632,529.4042,11.86783,1,0.9954512
3.779999,-1021.719,8.570844,529.1838,11.87149,1,0.9941745
3.799999,-1021.621,8.536779,528.9632,11.87608,1,0.9926593
3.819999,-1021.524,8.498761,528.7427,11.88188,0,0.9910169
3.839999,-1021.427,8.456797,528.5225,11.88884,0,0.989262
3.859999,-1021.33,8.410892,528.3025,11.89694,0,0.9874087
3.879999,-1021.233,8.361053,528.0826,11.90612,0,0.9854711
3.899999,-1021.136,8.307288,527.8631,11.91635,0,0.983463
3.919999,-1021.039,8.2496,527.6437,11.92757,0,0.9813978
3.939999,-1020.943,8.187998,527.4245,11.93972,0,0.9792885
3.959999,-1020.846,8.122487,527.2055,11.95273,0,0.9771476
3.979999,-1020.75,8.053072,526.9868,11.96654,0,0.9749873
3.999999,-1020.654,7.97976,526.7682,11.98107,0,0.9728193
4.019999,-1020.558,7.902555,526.5499,11.99624,0,0.9706548
4.039999,-1020.462,7.821463,526.3318,12.01197,0,0.9685044
4.059999,-1020.366,7.73649,526.114,12.02816,0,0.9663782
4.079998,-1020.27,7.64764,525.8963,12.04473,0,0.9642858
4.099998,-1020.174,7.554917,525.6789,12.06157,0,0.9622363
4.119998,-1020.078,7.458327,525.4617,12.07859,0,0.9602381
4.139998,-1019.983,7.357873,525.2447,12.09568,0,0.958299
4.159998,-1019.887,7.253561,525.0279,12.11273,0,0.9564265
4.179998,-1019.792,7.145393,524.8113,12.12964,0,0.9546272
4.199998,-1019.697,7.033373,524.595,12.14629,0,0.9529073
4.219998,-1019.601,6.917506,524.3789,12.16256,0,0.9512724
4.239998,-1019.506,6.797793,524.163,12.17834,0,0.9497275
4.259998,-1019.411,6.674239,523.9473,12.1935,0,0.9482771
4.279998,-1019.316,6.546846,523.7318,12.20793,0,0.9469251
4.299998,-1019.221,6.415618,523.5165,12.22149,0,0.945675
4.319998,-1019.126,6.280555,523.3015,12.23407,0,0.9445295
4.339998,-1019.031,6.141662,523.0867,12.24553,0,0.9434911
4.359998,-1018.936,5.998939,522.872,12.25576,0,0.9425616
4.379999,-1018.842,5.85239,522.6576,12.26462,0,0.9417424
4.399999,-1018.747,5.702016,522.4434,12.27198,0,0.9410344
4.419999,-1018.652,5.547818,522.2294,12.27773,0,0.9404379
4.439999,-1018.558,5.389799,522.0156,12.28172,0,0.9399531
4.459999,-1018.463,5.227959,521.8019,12.28383,0,0.9395797
4.479999,-1018.369,5.0623,521.5885,12.28394,0,0.9393166
4.499999,-1018.274,4.892823,521.3753,12.28192,0,0.9391629
4.519999,-1018.18,4.71953,521.1623,12.27764,0,0.9391169
4.539999,-1018.086,4.54242,520.9494,12.27099,0,0.9391768
4.559999,-1017.991,4.361495,520.7368,12.26184,0,0.9393404
4.579998,-1017.897,4.176755,520.5243,12.25007,0,0.9396052
4.599998,-1017.803,3.988202,520.312,12.23558,0,0.9399685
4.619998,-1017.708,3.795835,520.1,12.21824,0,0.9404271
4.639998,-1017.614,3.599654,519.888,12.19794,0,0.9409779
4.659998,-1017.52,3.399661,519.6763,12.17458,0,0.9416173
4.679998,-1017.426,3.195855,519.4647,12.14805,0,0.9423416
4.699998,-1017.332,2.988236,519.2534,12.11826,0,0.9431469
4.719998,-1017.238,2.776806,519.0422,12.08511,0,0.9440293
4.739998,-1017.144,2.561563,518.8312,12.0485,0,0.9449846
4.759998,-1017.05,2.342508,518.6203,12.00836,0,0.9460083
4.779998,-1016.956,2.11964,518.4096,11.96459,0,0.9470962
4.799998,-1016.862,1.89296,518.1991,11.91712,0,0.9482437
4.819998,-1016.768,1.662468,517.9888,11.86588,0,0.9494463
4.839998,-1016.674,1.428164,517.7785,11.81082,0,0.9506993
4.859998,-1016.58,1.190047,517.5685,11.75185,0,0.9519981
4.879998,-1016.486,0.9481175,517.3586,11.68893,0,0.9533379
4.899998,-1016.392,0.7023752,517.1489,11.62201,0,0.9547143
4.919998,-1016.298,0.4528202,516.9393,11.55106,0,0.9561224
4.939998,-1016.204,0.1994522,516.7299,11.47602,0,0.9575577
4.959998,-1016.11,-0.05772886,516.5206,11.39688,0,0.9590157
4.979998,-1016.016,-0.3187227,516.3114,11.31361,0,0.9604917
4.999998,-1015.922,-0.5835298,516.1024,11.2262,0,0.9619812
5.019998,-1015.828,-0.85215,515.8934,11.13463,0,0.9634802
5.039998,-1015.734,-1.124583,515.6847,11.0389,0,0.9649841
5.059998,-1015.64,-1.400829,515.4761,10.93902,0,0.9664888
5.079998,-1015.546,-1.680888,515.2676,10.835,0,0.9679905
5.099998,-1015.452,-1.964759,515.0592,10.72686,0,0.9694849
5.119998,-1015.358,-2.252443,514.851,10.61461,0,0.9709685
5.139998,-1015.265,-2.54394,514.6428,10.49831,0,0.9724377
5.159998,-1015.171,-2.839248,514.4348,10.37797,0,0.9738889
5.179998,-1015.077,-3.138367,514.2269,10.25365,0,0.9753188
5.199998,-1014.983,-3.441298,514.0191,10.12539,0,0.9767244
5.219998,-1014.889,-3.74804,513.8115,9.993266,0,0.9781027
5.239998,-1014.795,-4.058591,513.6039,9.857331,0,0.9794508
5.259998,-1014.701,-4.372952,513.3964,9.717655,0,0.9807661
5.279998,-1014.607,-4.691122,513.189,9.574321,0,0.9820464
5.299998,-1014.514,-5.0131,512.9817,9.427408,0,0.9832892
5.319998,-1014.42,-5.338885,512.7746,9.277003,0,0.9844927
5.339998,-1014.326,-5.668476,512.5675,9.123204,0,0.9856549
5.359998,-1014.232,-6.001873,512.3605,8.966102,0,0.9867742
5.379998,-1014.138,-6.339075,512.1536,8.805813,0,0.9878491
5.399998,-1014.044,-6.680079,511.9467,8.642434,0,0.9888784
5.419998,-1013.951,-7.024887,511.74,8.476084,0,0.989861
5.439998,-1013.857,-7.373495,511.5333,8.306878,0,0.9907959
5.459998,-1013.763,-7.725903,511.3267,8.134939,0,0.9916825
5.479998,-1013.669,-8.082108,511.1202,7.960395,0,0.9925203
5.499998,-1013.575,-8.442112,510.9138,7.783366,0,0.9933088
5.519998,-1013.481,-8.805911,510.7074,7.603992,0,0.9940479
5.539998,-1013.388,-9.173504,510.5011,7.422397,0,0.9947376
5.559998,-1013.294,-9.544889,510.2948,7.23873,0,0.995378
5.579998,-1013.2,-9.920066,510.0887,7.053118,0,0.9959693
5.599998,-1013.106,-10.29903,509.8825,6.865712,0,0.9965121
5.619998,-1013.013,-10.68178,509.6765,6.676645,0,0.9970068
5.639998,-1012.919,-11.06832,509.4705,6.486067,0,0.9974543
5.659998,-1012.825,-11.45865,509.2645,6.294121,0,0.9978554
5.679998,-1012.732,-11.85275,509.0586,6.100947,0,0.9982111
5.699998,-1012.638,-12.25064,508.8528,5.906695,0,0.9985223
5.719998,-1012.544,-12.6523,508.647,5.711514,0,0.9987904
5.739998,-1012.451,-13.05774,508.4413,5.515547,0,0.9990166
5.759998,-1012.357,-13.46696,508.2355,5.318935,0,0.9992023
5.779998,-1012.263,-13.87994,508.0299,5.121825,0,0.9993488
5.799998,-1012.17,-14.2967,507.8243,4.924365,0,0.9994578
5.819998,-1012.076,-14.71723,507.6187,4.726693,0,0.9995309
5.839998,-1011.983,-15.14152,507.4132,4.528948,0,0.9995696
5.859998,320.1771,11.19306,537.8031,-0.03660675,0,0.9824255
5.879998,320.1771,11.18523,537.803,-0.07310612,0,0.9824704
5.899998,320.1771,11.17349,537.8029,-0.109408,0,0.9825442
5.919998,320.1771,11.15785,537.8027,-0.1454249,0,0.9826463
5.939998,320.1771,11.1383,537.8024,-0.1810717,0,0.9827757
5.959998,320.1771,11.11484,537.8022,-0.2162661,0,0.9829316
5.979998,320.1771,11.08748,537.8018,-0.2509282,0,0.9831129
5.999998,320.1774,11.05725,537.8021,-0.2872391,1,0.9830473
6.019998,320.1778,11.02949,537.7977,-0.03373402,4,0.982976
6.039998,320.1783,11.00467,537.7888,0.2196354,4,0.9829044
6.059998,320.1789,10.98315,537.7753,0.4716232,4,0.9828364
6.079998,320.1795,10.96513,537.7574,0.7220224,4,0.9827738
6.099998,320.1803,10.95073,537.735,0.9708479,4,0.9827179
