run,name,lap,toward_gate,observed_seconds,arrival_time,misses,recoveries
standalone-race-0-mistake-traffic,GOLD,0,13,4.540,107.820,0,0
standalone-race-0-mistake-traffic,EMBER,0,12,9.560,110.340,0,0
standalone-race-0-mistake-traffic,BLUE,0,12,9.320,110.340,0,0
standalone-race-0-mistake-traffic,GOLD,0,14,4.580,112.400,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,12,9.700,114.520,0,0
standalone-race-0-mistake-traffic,EMBER,0,13,5.460,115.800,0,0
standalone-race-0-mistake-traffic,BLUE,0,13,5.460,115.800,0,0
standalone-race-0-mistake-traffic,GOLD,0,15,4.680,117.080,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,13,5.560,120.080,0,0
standalone-race-0-mistake-traffic,BLUE,0,14,5.540,121.340,0,0
standalone-race-0-mistake-traffic,EMBER,0,14,6.060,121.860,0,0
standalone-race-0-mistake-traffic,GOLD,0,16,6.060,123.140,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,14,5.320,125.400,0,0
standalone-race-0-mistake-traffic,BLUE,0,15,4.840,126.180,0,0
standalone-race-0-mistake-traffic,EMBER,0,15,5.580,127.440,0,0
standalone-race-0-mistake-traffic,GOLD,0,17,6.320,129.460,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,15,5.320,130.720,0,0
standalone-race-0-mistake-traffic,BLUE,0,16,6.280,132.460,0,0
standalone-race-0-mistake-traffic,GOLD,0,18,4.260,133.720,0,0
standalone-race-0-mistake-traffic,EMBER,0,16,7.020,134.460,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,16,7.000,137.720,0,0
standalone-race-0-mistake-traffic,GOLD,0,19,5.260,138.980,0,0
standalone-race-0-mistake-traffic,BLUE,0,17,6.520,138.980,0,0
standalone-race-0-mistake-traffic,EMBER,0,17,7.280,141.740,0,0
standalone-race-0-mistake-traffic,BLUE,0,18,4.840,143.820,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,17,7.400,145.120,0,0
standalone-race-0-mistake-traffic,EMBER,0,18,5.660,147.400,0,0
standalone-race-0-mistake-traffic,GOLD,0,0,9.200,148.180,0,0
standalone-race-0-mistake-traffic,BLUE,0,19,5.640,149.460,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,18,5.580,150.700,0,0
standalone-race-0-mistake-traffic,EMBER,0,19,6.120,153.520,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,19,6.120,156.820,0,0
standalone-race-0-mistake-traffic,GOLD,1,1,9.140,157.320,0,0
standalone-race-0-mistake-traffic,BLUE,0,0,9.600,159.060,0,0
standalone-race-0-mistake-traffic,EMBER,0,0,10.580,164.100,0,0
standalone-race-0-mistake-traffic,GOLD,1,2,8.520,165.840,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,0,10.580,167.400,0,0
standalone-race-0-mistake-traffic,BLUE,1,1,9.100,168.160,0,0
standalone-race-0-mistake-traffic,EMBER,1,1,9.320,173.420,0,0
standalone-race-0-mistake-traffic,GOLD,1,3,8.080,173.920,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,1,1,9.040,176.440,0,0
standalone-race-0-mistake-traffic,BLUE,1,2,9.280,177.440,0,0
standalone-race-0-mistake-traffic,EMBER,1,2,9.280,182.700,0,0
standalone-race-0-mistake-traffic,GOLD,1,4,8.780,182.700,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,1,2,9.320,185.760,0,0
standalone-race-0-mistake-traffic,BLUE,1,3,8.580,186.020,0,0
standalone-race-0-mistake-traffic,GOLD,1,5,6.840,189.540,0,0
standalone-race-0-mistake-traffic,EMBER,1,3,8.340,191.040,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,1,3,8.320,194.080,0,0
standalone-race-0-mistake-traffic,BLUE,1,4,8.820,194.840,0,0
standalone-race-0-mistake-traffic,GOLD,1,6,9.560,199.100,0,0
standalone-race-0-mistake-traffic,EMBER,1,4,8.800,199.840,0,0
standalone-race-0-mistake-traffic,BLUE,1,5,7.520,202.360,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,1,4,8.780,202.860,0,0
standalone-race-0-mistake-traffic,EMBER,1,5,7.280,207.120,0,0
standalone-race-0-mistake-traffic,GOLD,1,7,9.280,208.380,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,1,5,7.520,210.380,0,0
standalone-race-0-mistake-traffic,BLUE,1,6,10.020,212.380,0,0
standalone-race-0-mistake-traffic,GOLD,1,8,8.520,216.900,0,0
