time,name,profile,lap,nextGate,speed,target,throttle,brake,grounded,recoveries,misses
25.400,BLUE,atv,0,0,-0.163,0.000,0.000,0.000,4,0,0
25.680,YOU reference pilot,original,0,0,0.138,38.000,1.000,0.000,4,1,0
25.680,EMBER,tourer,0,0,-0.230,0.000,0.000,0.000,4,1,0
25.680,GOLD,moto,0,4,39.893,38.000,0.000,0.467,0,0,0
25.680,BLUE,atv,0,0,0.471,0.000,0.000,0.000,4,0,0
25.940,YOU reference pilot,original,0,0,-0.054,0.000,0.000,0.000,4,1,0
25.940,EMBER,tourer,0,0,-0.230,0.000,0.000,0.000,4,1,0
25.940,GOLD,moto,0,4,39.673,38.000,0.000,0.420,0,0,0
25.940,BLUE,atv,0,0,-0.179,0.000,0.000,0.000,4,0,0
26.200,YOU reference pilot,original,0,0,0.139,38.000,1.000,0.000,4,1,0
