time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries
22.32647,742.7434,87.32387,-115.906,11.60851,0,0.9768448,0.9460388,0,2,0,1
22.44647,744.0153,87.44855,-116.5304,11.30036,0,0.9892187,1,0,2,0,1
22.56647,745.2833,87.43051,-117.1542,11.05316,0,0.996723,1,0,2,0,1
22.68647,746.5469,87.27022,-117.7772,10.86373,0,0.9997668,0,0.2228854,2,0,1
22.80647,747.8053,86.97064,-118.3986,10.71922,1,0.9992032,0,0.1862655,2,0,1
22.92647,748.7512,86.80474,-119.1667,9.794868,4,0.9856186,0.1855759,0,2,0,1
23.04647,749.4583,86.88441,-120.1268,10.37016,4,0.9593058,1,0,2,0,1
23.16647,750.143,87.00199,-121.2929,12.03866,4,0.9571407,1,0,2,0,1
23.28647,750.8245,87.10634,-122.6817,13.65536,4,0.9655189,1,0,2,0,1
23.40647,751.4703,87.22791,-124.2927,15.19964,4,0.9745755,1,0,2,0,1
23.52647,752.0591,87.38385,-126.1179,16.67605,4,0.9814783,1,0,2,0,1
23.64647,752.5926,87.53858,-128.1461,18.09636,4,0.9872544,1,0,2,0,1
23.76647,753.0817,87.64345,-130.3577,19.47922,4,0.9923068,1,0,2,0,1
23.88647,753.5089,87.78888,-132.7366,20.76529,4,0.9944513,1,0,2,0,1
24.00647,753.8171,88.04515,-135.2777,21.96021,4,0.9946206,1,0,2,0,1
24.12647,753.9562,88.37002,-137.9712,23.09859,4,0.9946653,1,0,2,0,1
24.24647,753.9266,88.70224,-140.8035,24.21361,4,0.994782,1,0,2,0,1
24.36647,753.7624,89.01889,-143.7655,25.30886,4,0.9948446,1,0,2,0,1
24.48647,753.5128,89.33035,-146.8517,26.37426,4,0.9947869,1,0,2,0,1
24.60647,753.2307,89.65529,-150.0598,27.39938,4,0.9946213,1,0,2,0,1
24.72647,752.977,90.00591,-153.3879,28.36203,4,0.994348,1,0,2,0,1
24.84647,752.8481,90.38669,-156.8323,29.25564,4,0.9940093,1,0,2,0,1
24.96646,752.9009,90.79718,-160.3805,30.11263,4,0.9936103,1,0,2,0,1
25.08647,753.1401,91.23704,-164.0191,30.94635,4,0.9931329,1,0,2,0,1
25.20646,753.5405,91.70611,-167.7203,31.42245,4,0.9925597,0.5009125,0,2,0,1
25.32647,754.0616,92.20325,-171.4348,31.59706,4,0.991833,0.337413,0,2,0,1
25.44646,754.6863,92.73215,-175.1411,31.66219,4,0.9908913,0.2755463,0,2,0,1
25.56647,755.4122,93.29868,-178.8274,31.68206,4,0.9896605,0.2556183,0,2,0,1
25.68647,756.2396,93.90936,-182.4857,31.68294,4,0.9881477,0.2531799,0,2,0,1
