seconds,x,y,z,speed,station,lateral,up,wheels
2.479999,814.6083,98.38636,-138.2898,6.904414,1561.432,0,0.9999531,4
2.499999,814.6635,98.38764,-138.1629,6.918049,1561.57,0,0.9999533,4
2.52,814.7182,98.38892,-138.0369,6.866832,1561.708,0,0.9999536,4
2.54,814.7732,98.3902,-137.9106,6.887707,1561.846,0,0.9999539,4
2.559999,814.8284,98.39148,-137.784,6.904571,1561.984,0,0.9999542,4
2.579999,814.8837,98.39277,-137.6572,6.9182,1562.122,0,0.9999545,4
2.599999,814.9387,98.39404,-137.5314,6.866978,1562.26,0,0.9999549,4
2.62,814.994,98.3953,-137.4052,6.887852,1562.397,0,0.9999552,4
2.639998,815.0494,98.39656,-137.2787,6.904718,1562.535,0,0.9999556,4
2.659999,815.105,98.39782,-137.152,6.918348,1562.673,0,0.9999559,4
2.679999,815.1602,98.39906,-137.0262,6.867125,1562.812,0,0.9999561,4
2.7,815.2156,98.40031,-136.9001,6.887999,1562.949,0,0.9999564,4
2.719998,815.2712,98.40155,-136.7737,6.904861,1563.087,0,0.9999565,4
2.739999,815.327,98.4028,-136.647,6.918486,1563.225,0,0.9999568,4
2.759999,815.3823,98.40404,-136.5213,6.867255,1563.363,0,0.999957,4
2.78,815.4379,98.40528,-136.3953,6.888122,1563.5,0,0.9999571,4
2.799998,815.4937,98.40652,-136.2689,6.904978,1563.638,0,0.9999574,4
2.819999,815.5496,98.40777,-136.1424,6.918599,1563.776,0,0.9999576,4
2.839999,815.605,98.409,-136.0167,6.867364,1563.915,0,0.9999579,4
2.86,815.6608,98.41024,-135.8907,6.88823,1564.052,0,0.9999581,4
2.879998,815.7166,98.41148,-135.7644,6.905086,1564.19,0,0.9999583,4
2.899999,815.7726,98.4127,-135.6379,6.918705,1564.328,0,0.9999585,4
2.919999,815.8282,98.41393,-135.5123,6.867469,1564.466,0,0.9999586,4
2.94,815.884,98.41515,-135.3863,6.888331,1564.604,0,0.9999588,4
2.959998,815.9399,98.41637,-135.2601,6.905183,1564.741,0,0.9999589,4
2.979999,815.9959,98.4176,-135.1335,6.918798,1564.88,0,0.9999591,4
2.999999,816.0516,98.41882,-135.008,6.867555,1565.018,0,0.9999592,4
3.02,816.1074,98.42004,-134.882,6.888412,1565.155,0,0.9999593,4
3.039998,816.1634,98.42126,-134.7558,6.905259,1565.293,0,0.9999594,4
3.059999,816.2195,98.42249,-134.6293,6.91887,1565.431,0,0.9999595,4
3.079999,816.2751,98.42371,-134.5037,6.867622,1565.569,0,0.9999596,4
3.099999,816.3309,98.42493,-134.3777,6.888476,1565.707,0,0.9999597,4
3.119998,816.3868,98.42616,-134.2515,6.905319,1565.845,0,0.9999598,4
3.139998,816.4429,98.42738,-134.1249,6.918926,1565.983,0,0.9999598,4
3.159999,816.4985,98.42859,-133.9993,6.867673,1566.121,0,0.9999599,4
